countryname,bankname,bankname_sbs,pd_source,date,year,month,tot_asset,total_liab,equity,st_borrow,lt_borrow,net_income,net_rev,prof_margin
peru,bcp,Banco de Crédito del Perú,market,2010-01-31,2010,1,51009057.0,46107850.0,4901207.0,44159497.0,1948353.0,82666.0,206731.0,0.3998722978169698
peru,bcp,Banco de Crédito del Perú,market,2010-02-28,2010,2,53205878.0,48231192.0,4974686.0,46315828.0,1915364.0,70952.0,208752.0,0.3398865639610638
peru,bcp,Banco de Crédito del Perú,market,2010-03-31,2010,3,52618746.0,48122446.0,4496300.0,46236991.0,1885455.0,68916.0,231071.0,0.2982459936556296
peru,bcp,Banco de Crédito del Perú,market,2010-04-30,2010,4,52211750.0,47606093.0,4605657.0,45725690.0,1880403.0,172980.0,306843.0,0.5637410662781944
peru,bcp,Banco de Crédito del Perú,market,2010-05-31,2010,5,50858192.0,46187268.0,4670924.0,44342707.0,1844561.0,95754.0,231474.0,0.4136706498354027
peru,bcp,Banco de Crédito del Perú,market,2010-06-30,2010,6,53040568.0,48267650.0,4772918.0,46425725.0,1841925.0,91071.0,232049.0,0.3924645225792828
peru,bcp,Banco de Crédito del Perú,market,2010-07-31,2010,7,57057131.371,52064377.229,4992754.142,50223909.124000005,1840468.105,101351.42299999997,250168.09199999995,0.4051332933378249
peru,bcp,Banco de Crédito del Perú,market,2010-08-31,2010,8,58537839.125,53433970.409,5103868.718,51601760.709,1832209.7,120455.826,272677.767,0.4417515491829593
peru,bcp,Banco de Crédito del Perú,market,2010-09-30,2010,9,57289361.707,52025176.04,5264185.672,50254774.615,1770401.425,110828.8330000001,240815.47,0.4602230620815187
peru,bcp,Banco de Crédito del Perú,market,2010-10-31,2010,10,60867479.771,55502262.68,5365217.091,53781089.257,1721173.423,99776.98699999996,250405.23100000012,0.3984620712655955
peru,bcp,Banco de Crédito del Perú,market,2010-11-30,2010,11,61006361.606,55484907.709,5521453.898,53810213.574,1674694.1350000002,106339.33099999987,251440.25100000016,0.4229208751465962
peru,bcp,Banco de Crédito del Perú,market,2010-12-31,2010,12,61611294.495,56064365.395,5546929.099,54393784.874000005,1670580.521,88249.15428000013,261626.87849999964,0.3373092045663047
peru,bcp,Banco de Crédito del Perú,market,2011-01-31,2011,1,61811442.877,56204033.138,5607409.733,54290061.425,1913971.713,116272.14278,257478.78772,0.4515795021780289
peru,bcp,Banco de Crédito del Perú,market,2011-02-28,2011,2,62977635.7,57285692.901,5691942.799,55442005.443,1843687.458,112639.83419,255562.60855,0.4407524043876801
peru,bcp,Banco de Crédito del Perú,market,2011-03-31,2011,3,65580759.372,60250631.964,5330127.405,58428749.016,1821882.948,143567.99864000003,306086.30589,0.4690441743956846
peru,bcp,Banco de Crédito del Perú,market,2011-04-30,2011,4,64438857.608,58983944.013,5454913.596,57254079.983,1729864.0299999998,101057.49654999998,273537.7086299999,0.3694463079922014
peru,bcp,Banco de Crédito del Perú,market,2011-05-31,2011,5,64514787.333,58951568.582,5563218.753,57332827.853,1618740.729,102987.24417000008,259717.44255000004,0.3965357242040964
peru,bcp,Banco de Crédito del Perú,market,2011-06-30,2011,6,65471407.394,59831536.365,5639871.029,58284760.345,1546776.02,110273.09587999992,271992.49876999995,0.4054269745624424
peru,bcp,Banco de Crédito del Perú,market,2011-07-31,2011,7,64941084.122,59175708.754,5765375.368,57681952.918,1493755.836,133003.81417000003,295270.38089000015,0.4504475314086759
peru,bcp,Banco de Crédito del Perú,market,2011-08-31,2011,8,65313892.753,59412990.659,5900902.093,57923730.699,1489259.96,148405.95760999992,302725.71805999987,0.4902324076099343
peru,bcp,Banco de Crédito del Perú,market,2011-09-30,2011,9,66634931.795,60717698.66,5917233.136,59224707.764,1492990.896,132070.14708999987,307970.0599600002,0.428840865593082
peru,bcp,Banco de Crédito del Perú,market,2011-10-31,2011,10,65260625.715,59144757.232,6115868.482,57677804.977,1466952.255,119430.21901000012,285954.56648000004,0.4176545263121482
peru,bcp,Banco de Crédito del Perú,market,2011-11-30,2011,11,66449962.791,60248673.217,6201289.574,58657707.084,1590966.133,122954.51327,316073.89570999984,0.389005593118679
peru,bcp,Banco de Crédito del Perú,market,2011-12-31,2011,12,67468726.556,61162093.953,6306632.6,59421163.838,1740930.1149999998,96331.61109000002,318943.63656,0.30203333770504
peru,bcp,Banco de Crédito del Perú,market,2012-01-31,2012,1,70602120.652,64093014.662,6509105.991,62351345.834,1741668.828,141685.50415,319488.23546,0.4434764364515671
peru,bcp,Banco de Crédito del Perú,market,2012-02-29,2012,2,71651637.02,64976243.565,6675393.455,63239319.34,1736924.225,130851.80332,306160.50639,0.4273960899232232
peru,bcp,Banco de Crédito del Perú,market,2012-03-31,2012,3,73731585.34,67488692.377,6242892.961,65760450.45200001,1728241.925,143026.62739000004,353577.51403,0.4045127920036925
peru,bcp,Banco de Crédito del Perú,market,2012-04-30,2012,4,71539333.3,65163455.736,6375877.563,63452531.709,1710924.027,127025.99098999996,341948.4223600001,0.3714770494138095
peru,bcp,Banco de Crédito del Perú,market,2012-05-31,2012,5,74698502.964,68277535.094,6420967.869,66554017.042,1723518.052,122515.28485000004,341126.3341900001,0.359149302093346
peru,bcp,Banco de Crédito del Perú,market,2012-06-30,2012,6,74080074.569,67567602.136,6512472.434,65876668.15100001,1690933.985,81068.58080999996,313392.14124999987,0.2586809627281934
peru,bcp,Banco de Crédito del Perú,market,2012-07-31,2012,7,76258811.207,69599144.635,6659666.571,67915144.251,1684000.384,138426.15497000003,349627.6293799998,0.3959245303795736
peru,bcp,Banco de Crédito del Perú,market,2012-08-31,2012,8,77194854.568,70420866.54,6773988.027,68743036.942,1677829.598,146913.89821999997,364399.54593,0.4031670726840632
peru,bcp,Banco de Crédito del Perú,market,2012-09-30,2012,9,77304842.703,70403614.162,6901228.54,68755627.893,1647986.269,104640.49176999996,346408.02918000007,0.3020729398729578
peru,bcp,Banco de Crédito del Perú,market,2012-10-31,2012,10,79496475.829,72468157.807,7028318.022,70631182.078,1836975.729,122005.13016000018,361431.12821999984,0.3375612132824839
peru,bcp,Banco de Crédito del Perú,market,2012-11-30,2012,11,80006765.029,72987589.403,7019175.625,70971028.447,2016560.956,116432.82481999998,347869.7436900004,0.3347023618235611
peru,bcp,Banco de Crédito del Perú,market,2012-12-31,2012,12,81708049.73,74563472.273,7144577.456,72577943.568,1985528.705,123109.10098999996,372048.4326499999,0.330895362501939
peru,bcp,Banco de Crédito del Perú,market,2013-01-31,2013,1,83480501.601,76082755.528,7397746.072,74089143.814,1993611.714,158810.80224000002,389349.56802,0.4078874494393744
peru,bcp,Banco de Crédito del Perú,market,2013-02-28,2013,2,84994212.677,77486204.343,7508008.334,75493122.07699999,1993082.266,111849.46065999995,336925.39882,0.3319709972941361
peru,bcp,Banco de Crédito del Perú,market,2013-03-31,2013,3,87132400.035,80129518.344,7002881.691,78172040.427,1957477.917,153214.02324,374050.59887,0.4096077474621262
