countryname,bankname,date,mktcap,price
brazil,itau_unibanco,2010-01-04,,
brazil,itau_unibanco,2010-01-05,,
brazil,itau_unibanco,2010-01-06,,
brazil,itau_unibanco,2010-01-07,,
brazil,itau_unibanco,2010-01-08,,
brazil,itau_unibanco,2010-01-11,,
brazil,itau_unibanco,2010-01-12,,
brazil,itau_unibanco,2010-01-13,,
brazil,itau_unibanco,2010-01-14,,
brazil,itau_unibanco,2010-01-15,,
brazil,itau_unibanco,2010-01-18,,
brazil,itau_unibanco,2010-01-19,,
brazil,itau_unibanco,2010-01-20,,
brazil,itau_unibanco,2010-01-21,,
brazil,itau_unibanco,2010-01-22,,
brazil,itau_unibanco,2010-01-26,,
brazil,itau_unibanco,2010-01-27,,
brazil,itau_unibanco,2010-01-28,,
brazil,itau_unibanco,2010-01-29,,
brazil,itau_unibanco,2010-02-01,,
brazil,itau_unibanco,2010-02-02,,
brazil,itau_unibanco,2010-02-03,,
brazil,itau_unibanco,2010-02-04,,
brazil,itau_unibanco,2010-02-05,,
brazil,itau_unibanco,2010-02-08,,
brazil,itau_unibanco,2010-02-09,,
brazil,itau_unibanco,2010-02-10,,
brazil,itau_unibanco,2010-02-11,,
brazil,itau_unibanco,2010-02-12,,
brazil,itau_unibanco,2010-02-17,,
brazil,itau_unibanco,2010-02-18,,
brazil,itau_unibanco,2010-02-19,,
brazil,itau_unibanco,2010-02-22,,
brazil,itau_unibanco,2010-02-23,,
brazil,itau_unibanco,2010-02-24,,
brazil,itau_unibanco,2010-02-25,,
brazil,itau_unibanco,2010-02-26,,
brazil,itau_unibanco,2010-03-01,,
brazil,itau_unibanco,2010-03-02,,
brazil,itau_unibanco,2010-03-03,,
brazil,itau_unibanco,2010-03-04,,
brazil,itau_unibanco,2010-03-05,,
brazil,itau_unibanco,2010-03-08,,
brazil,itau_unibanco,2010-03-09,,
brazil,itau_unibanco,2010-03-10,,
brazil,itau_unibanco,2010-03-11,,
brazil,itau_unibanco,2010-03-12,,
brazil,itau_unibanco,2010-03-15,,
brazil,itau_unibanco,2010-03-16,,
brazil,itau_unibanco,2010-03-17,,
brazil,itau_unibanco,2010-03-18,,
brazil,itau_unibanco,2010-03-19,,
brazil,itau_unibanco,2010-03-22,,
brazil,itau_unibanco,2010-03-23,,
brazil,itau_unibanco,2010-03-24,,
brazil,itau_unibanco,2010-03-25,,
brazil,itau_unibanco,2010-03-26,,
brazil,itau_unibanco,2010-03-29,,
brazil,itau_unibanco,2010-03-30,,
brazil,itau_unibanco,2010-03-31,,
brazil,itau_unibanco,2010-04-01,,
brazil,itau_unibanco,2010-04-05,,
brazil,itau_unibanco,2010-04-06,,
brazil,itau_unibanco,2010-04-07,,
brazil,itau_unibanco,2010-04-08,,
brazil,itau_unibanco,2010-04-09,,
brazil,itau_unibanco,2010-04-12,,
brazil,itau_unibanco,2010-04-13,,
brazil,itau_unibanco,2010-04-14,,
brazil,itau_unibanco,2010-04-15,,
brazil,itau_unibanco,2010-04-16,,
brazil,itau_unibanco,2010-04-19,,
brazil,itau_unibanco,2010-04-20,,
brazil,itau_unibanco,2010-04-22,,
brazil,itau_unibanco,2010-04-23,,
brazil,itau_unibanco,2010-04-26,,
brazil,itau_unibanco,2010-04-27,,
brazil,itau_unibanco,2010-04-28,,
brazil,itau_unibanco,2010-04-29,,
brazil,itau_unibanco,2010-04-30,,
brazil,itau_unibanco,2010-05-03,,
brazil,itau_unibanco,2010-05-04,,
brazil,itau_unibanco,2010-05-05,,
brazil,itau_unibanco,2010-05-06,,
brazil,itau_unibanco,2010-05-07,,
brazil,itau_unibanco,2010-05-10,,
brazil,itau_unibanco,2010-05-11,,
brazil,itau_unibanco,2010-05-12,,
brazil,itau_unibanco,2010-05-13,,
brazil,itau_unibanco,2010-05-14,,
brazil,itau_unibanco,2010-05-17,,
brazil,itau_unibanco,2010-05-18,,
brazil,itau_unibanco,2010-05-19,,
brazil,itau_unibanco,2010-05-20,,
brazil,itau_unibanco,2010-05-21,,
brazil,itau_unibanco,2010-05-24,,
brazil,itau_unibanco,2010-05-25,,
brazil,itau_unibanco,2010-05-26,,
brazil,itau_unibanco,2010-05-27,,
brazil,itau_unibanco,2010-05-28,,
brazil,itau_unibanco,2010-05-31,,
brazil,itau_unibanco,2010-06-01,,
brazil,itau_unibanco,2010-06-02,,
brazil,itau_unibanco,2010-06-04,,
brazil,itau_unibanco,2010-06-07,,
brazil,itau_unibanco,2010-06-08,,
brazil,itau_unibanco,2010-06-09,,
brazil,itau_unibanco,2010-06-10,,
brazil,itau_unibanco,2010-06-11,,
brazil,itau_unibanco,2010-06-14,,
brazil,itau_unibanco,2010-06-15,,
brazil,itau_unibanco,2010-06-16,,
brazil,itau_unibanco,2010-06-17,,
brazil,itau_unibanco,2010-06-18,,
brazil,itau_unibanco,2010-06-21,,
