quarter,countryname,JLoss,n_banks,sys_liab,below_min_banks,source,date
2004Q1,argentina,4.77524446304173,3,39753.6941,False,merton,2004-01-01
2004Q2,argentina,7.882649776412348,3,39314.7514,False,merton,2004-04-01
2004Q3,argentina,2.8004304477498896,3,38818.6878,False,merton,2004-07-01
2004Q4,argentina,3.856188178104711,3,39460.531599999995,False,merton,2004-10-01
2005Q1,argentina,3.444572412964066,3,43735.3497,False,merton,2005-01-01
2005Q2,argentina,3.1362891433016307,3,45485.8527,False,merton,2005-04-01
2005Q3,argentina,2.7221745647023954,3,47131.2086,False,merton,2005-07-01
2005Q4,argentina,2.5176640035940308,3,45403.6528,False,merton,2005-10-01
2006Q1,argentina,2.287942688865398,3,45854.8589,False,merton,2006-01-01
2006Q2,argentina,3.821759554619573,3,43382.076,False,merton,2006-04-01
2006Q3,argentina,2.4277882277199097,3,45835.527500000004,False,merton,2006-07-01
2006Q4,argentina,2.1720296592355797,3,50834.10739999999,False,merton,2006-10-01
2007Q1,argentina,2.6523600953094024,3,50633.9228,False,merton,2007-01-01
2007Q2,argentina,2.1646389713169465,3,50778.7269,False,merton,2007-04-01
2007Q3,argentina,3.262515007921629,3,52565.407300000006,False,merton,2007-07-01
2007Q4,argentina,2.4343822650191274,3,55990.0976,False,merton,2007-10-01
2008Q1,argentina,2.792150074790068,3,57747.6903,False,merton,2008-01-01
2008Q2,argentina,4.987738233465785,3,60964.79059999999,False,merton,2008-04-01
2008Q3,argentina,7.913678523073552,3,58950.221399999995,False,merton,2008-07-01
2008Q4,argentina,19.207994877197052,3,61718.5401,False,merton,2008-10-01
2009Q1,argentina,13.323658852522724,3,65737.9351,False,merton,2009-01-01
2009Q2,argentina,7.946891877954088,3,70518.72,False,merton,2009-04-01
2009Q3,argentina,5.117008597821249,3,70990.378,False,merton,2009-07-01
2009Q4,argentina,3.9793016986144925,3,70414.49900000001,False,merton,2009-10-01
2010Q1,argentina,2.6448417513977445,3,72281.519,False,merton,2010-01-01
2010Q2,argentina,5.198235187043061,3,74804.232,False,merton,2010-04-01
2010Q3,argentina,3.1995878809209923,3,80523.662,False,merton,2010-07-01
2010Q4,argentina,3.1586282262897236,3,88157.31899999999,False,merton,2010-10-01
2011Q1,argentina,2.3634956213698275,3,91236.76800000001,False,merton,2011-01-01
