muestra,modelo,efectos_fijos,N,paises,R2,R2_within,JLoss_b,JLoss_se,JLoss_t,JLoss_p,GaR_b,GaR_se,GaR_t,GaR_p,Int_b,Int_se,Int_t,Int_p
completa,M1,T,721,13,0.103,0.205,7.41301880821427,1.5672523918561259,4.729945761598038,2.7730029592554217e-06,,,,,,,,
completa,M1,P,721,13,0.206,0.206,8.12243137053099,1.2594483177534348,6.44919784006662,2.0840129622001768e-10,,,,,,,,
completa,M1,PT,721,13,0.092,0.176,4.99322962187698,1.2130613931248957,4.116221693457918,4.373313056271755e-05,,,,,,,,
completa,M2,T,721,13,0.05,0.172,,,,,-7.899158365227261,2.738743161330512,-2.8842275087196425,0.0040575673665417256,,,,
completa,M2,P,721,13,0.174,0.174,,,,,-9.065792946410301,1.7598188537896609,-5.151548937487331,3.3543386002143905e-07,,,,
completa,M2,PT,721,13,0.029,0.15,,,,,-5.659957983930557,3.1615948843393813,-1.7902224007150782,0.073906784891546,,,,
completa,M3,T,721,13,0.183,0.194,8.550956680973838,1.4472009038785982,5.908617565160915,5.649108292260507e-09,-10.1302529180305,2.8300716521169553,-3.5795040420453135,0.00037072583143271665,,,,
completa,M3,P,721,13,0.27,0.27,6.0791417085710275,1.1709974522543478,5.191421806142923,2.7319106443712826e-07,-6.029512596959868,1.5102253967291868,-3.9924587482229175,7.223782229415221e-05,,,,
completa,M3,PT,721,13,0.104,0.246,4.619830235688904,1.1563047795969492,3.9953395654900166,7.238942271770021e-05,-3.77802550015844,2.980828194128985,-1.2674415478220475,0.20547481340843654,,,,
completa,M4,T,721,13,0.183,0.193,8.547037604844467,1.4440357404505721,5.918854613790651,5.329998442604733e-09,-10.09089990367865,2.745147963721595,-3.6759038263272426,0.0002572438275638689,-0.07748100084099313,0.44929928029969957,-0.17244853094202683,0.863140392940589
completa,M4,P,721,13,0.272,0.272,6.136042485243686,1.1367612648813858,5.397828616093762,9.22394205460364e-08,-5.619224651539372,1.5211540315824306,-3.6940536821861416,0.00023779190576034281,-0.16115780218426928,0.22324820571758738,-0.7218772561520003,0.47060929791457173
completa,M4,PT,721,13,0.106,0.25,4.642949198579356,1.1038351233815946,4.206198099907982,2.9822555496439307e-05,-3.626120880658533,2.918156085350684,-1.2426068978495954,0.21448476632902214,-0.13607772080964883,0.23902310940470808,-0.5693078010262403,0.5693544643364103
sin crisis,M1,T,610,13,0.079,0.146,6.697181198532467,2.1011868153620012,3.1873325825046397,0.0015201226215579844,,,,,,,,
sin crisis,M1,P,610,13,0.146,0.146,7.007138635368914,1.3844580009806287,5.061286532639973,5.556133149120512e-07,,,,,,,,
sin crisis,M1,PT,610,13,0.075,0.129,4.619457728271549,1.5686418632869208,2.9448772446962312,0.0033751752029431703,,,,,,,,
sin crisis,M2,T,610,13,0.071,0.134,,,,,-9.16566414143988,2.9351402121253,-3.122734683534294,0.001889094455875151,,,,
sin crisis,M2,P,610,13,0.136,0.136,,,,,-10.485335657254234,2.657307204016198,-3.9458500098923146,8.899176049403934e-05,,,,
sin crisis,M2,PT,610,13,0.064,0.134,,,,,-9.055335549310774,3.086223441381408,-2.9341153423608124,0.0034924386558803366,,,,
sin crisis,M3,T,610,13,0.182,0.14,8.073155863483116,1.9778240861257033,4.081837166467805,5.154452325184522e-05,-11.241592140821147,3.301298538782637,-3.4052031371166196,0.0007110675754540274,,,,
sin crisis,M3,P,610,13,0.202,0.202,5.125313213358163,1.3642149744713599,3.7569688863327775,0.00018890942592197923,-7.322668728035604,2.515138393756767,-2.911437695123413,0.0037324544526249337,,,,
sin crisis,M3,PT,610,13,0.113,0.197,3.8442828601330366,1.3466108211185823,2.8547838765618456,0.004478549316381919,-7.20646627803497,2.813828280507316,-2.561089576061723,0.010715505014880167,,,,
sin crisis,M4,T,610,13,0.221,0.17,8.282164379116468,1.7875335004505548,4.633291838742555,4.533152735630708e-06,-10.745787536650143,2.958224927105957,-3.632511996700261,0.00030791522431150575,-1.7240852033833987,0.3935507456563974,-4.380845983426668,1.4249512377606521e-05
sin crisis,M4,P,610,13,0.237,0.237,5.472345212710829,1.1429480483267094,4.787921218923653,2.1300400123713814e-06,-6.795853115091877,2.424863507120491,-2.8025714004669506,0.005235122812818682,-1.1787191162445914,0.28303006751638443,-4.164642741274674,3.5809342642689757e-05
sin crisis,M4,PT,610,13,0.158,0.23,4.291412125349448,1.2469176406539848,3.441616338909668,0.0006248910197186319,-5.996283515857925,2.6810765276008257,-2.236520835615136,0.02574170933655129,-1.1895643642339149,0.3355599859938724,-3.5450125577715257,0.0004280843336377238
