seed,N,b3,t3,p3,b1,bD,cr_N,cr_b3,cr_t3,cr_p3,b4_bk,sum_bk,sum_bk_p,b4_em,sum_em,sum_em_p,error
0,617,0.22412436961175716,1.322025490065598,0.18675462930860975,2.7080908012541918,6.351721580810471,617,0.8330193885273754,2.330459858553125,0.020177154701927824,-0.9321882772765869,-0.09916888874921148,0.20177135101253652,0.20467671127692233,1.0376960998042977,0.0024280427268648097,
1,617,0.1834962296430081,1.0335944453184593,0.301817591181438,2.935383961228149,2.3294242259393627,617,0.7137896593167506,1.9086183934529821,0.05688135237915759,-0.8280021553710498,-0.11421249605429917,0.16839386205245765,0.3393990666142579,1.0531887259310087,0.0023213816417086974,
2,617,0.22708930970114963,1.3469553396471405,0.178595171467254,2.7102868023706845,6.380463968321663,617,0.8020972398502689,2.3147259254177928,0.021030493102203174,-0.9005070789311301,-0.0984098390808612,0.18184779253912886,0.23957608986467935,1.0416733297149483,0.0027478426976503822,
3,617,0.21557840244019272,1.29184951654435,0.19699667065948634,2.693773483904652,6.376086122430197,617,0.8340910306089435,2.297289925558489,0.022012831434859326,-0.9392881608820614,-0.10519713027311783,0.1864733615820362,0.2153279296427964,1.0494189602517399,0.002130000602951432,
4,617,0.22525655607679718,1.472002840037458,0.14163933685642638,2.678454109505402,7.625194159023725,617,0.7415867063575229,2.2224781554092523,0.02669580488744483,-0.8207383711257887,-0.07915166476826585,0.2691315139106436,0.23038344199887623,0.9719701483563992,0.0052424300501405785,
5,617,0.21766298417363805,1.1469444310309183,0.2519444939613589,2.7322771128451055,6.315678621533993,617,0.9815520134325773,2.315064979034814,0.021011776906679103,-1.1287182280835084,-0.14716621465093116,0.13451159706243399,0.18003840864766857,1.1615904220802458,0.0011775798999436038,
6,617,0.2354981486117492,1.6645679504041782,0.09661560220122989,2.9077662383221057,11.077823983028438,617,0.6576719582965425,1.9076021314202152,0.05701299771307666,-0.7425042989532515,-0.08483234065670908,0.34259009137958185,0.40359749648350135,1.0612694547800439,0.003825371310620662,
7,617,0.17968488416351544,1.2565614061036043,0.20948999458698148,2.669320375745342,5.849834354483468,617,0.7462561467223904,2.0897894290587686,0.037139419506879046,-0.8278509148912062,-0.08159476816881583,0.2689456080748731,0.19926834123900022,0.9455244879613907,0.0030114131090719365,
8,617,0.21253176600589446,1.3176154795356343,0.18822631642590038,2.6778115433119183,7.062363710982282,617,0.8101879182784324,2.27407681510299,0.02338263793521156,-0.9131383020509608,-0.10295038377252841,0.20116804782677988,0.2171537086412318,1.0273416269196642,0.003377309665548278,
9,617,0.15845135986735745,1.2156171230815143,0.22469542311094703,2.651833213148441,5.909565226278267,617,0.7047825954287428,1.9852310205783816,0.04766250606805733,-0.7825956392883867,-0.07781304385964394,0.29279585311536405,0.2020412241540688,0.9068238195828116,0.003705954879901441,
10,617,0.2407696832615322,1.2528776656337421,0.2108266292918537,2.76966494023063,5.403558220010423,617,0.8887401839498552,2.348038604286228,0.019259745470066036,-1.0144234005978798,-0.12568321664802462,0.11622545613851964,0.24529216596708048,1.1340323499169358,0.0011948468616045371,
