grid,controles,fe,N,paises,R2w,b3,b3_se,b3_t,b3_p,b4_cr,b4_cr_se,b4_cr_t,b4_cr_p,b3_plus_b4_cr,b3_plus_b4_cr_se,b3_plus_b4_cr_p,JLoss_cr,D_cr,b4_bk,b4_bk_se,b4_bk_t,b4_bk_p,b3_plus_b4_bk,b3_plus_b4_bk_se,b3_plus_b4_bk_p,JLoss_bk,D_bk,b4_em,b4_em_se,b4_em_t,b4_em_p,b3_plus_b4_em,b3_plus_b4_em_se,b3_plus_b4_em_p,JLoss_em,D_em
vector unico,sin controles,T,721,13,0.198,1.8318086877745912,0.4896601662698146,3.7409795894347266,0.000200141451357716,-2.3809282194569863,0.5514796411374975,-4.317345631374563,1.8355549691539963e-05,-0.5491195316823951,0.2645396934374712,0.037916637121480745,0.7470261301392715,-0.6598730690945014,,,,,,,,,,,,,,,,,,
vector unico,sin controles,P,721,13,0.291,0.9830826409561425,0.3206834968095494,3.0655853847695353,0.002255769612548253,-1.1807615481126017,0.35536332510944707,-3.322688259259571,0.0009377789885713916,-0.1976789071564592,0.17757064685942625,0.26560498013986633,1.077939205201047,1.022061449350483,,,,,,,,,,,,,,,,,,
vector unico,sin controles,PT,721,13,0.273,0.950679977122653,0.3437960279863719,2.7652442138172058,0.005858971906877564,-1.192442302950749,0.3746913242920394,-3.182465740843638,0.0015340213673831204,-0.24176232582809598,0.15457929085722863,0.11781708997048956,1.8031635346686066,1.8129810443132526,,,,,,,,,,,,,,,,,,
vector unico,+6 controles,T,614,13,0.138,0.025200676139576644,0.9346107103103926,0.0269638212590216,0.9784990552501123,-0.42864378380110635,0.9541565674294717,-0.44923841477702803,0.6534490361877197,-0.4034431076615297,0.23843377957459938,0.09063545639643222,4.239414829625907,3.455400742853305,,,,,,,,,,,,,,,,,,
vector unico,+6 controles,P,614,13,0.48,0.6413042772582159,0.36386765322935294,1.7624657524970742,0.07850924810030713,-0.62678955639458,0.37554606988419664,-1.6690084297456682,0.09564710885204719,0.014514720863635922,0.10509535822576983,0.8901534755979741,0.5225773318163011,-3.478353165544922,,,,,,,,,,,,,,,,,,
vector unico,+6 controles,PT,614,13,0.455,0.8113776705652332,0.4149988755781207,1.9551322143582457,0.05112195724994839,-0.8392478510156335,0.42769901497574886,-1.9622393824386526,0.05028661897558351,-0.02787018045040024,0.09349695144608135,0.7656371332154717,1.421136633388408,-1.0642036937585246,,,,,,,,,,,,,,,,,,
Backstop vs EMstress,sin controles,T,721,13,0.217,1.8318086877745898,0.49083770744823746,3.732004815395663,0.0002073336764547573,,,,,,,,,,-2.5098536113335417,0.5631743216867923,-4.456619406609574,9.873245776503836e-06,-0.6780449235589519,0.2567858883722004,0.008278209411263004,0.9820741278227284,-2.7361997027410037,-0.45081164910445315,0.5056808384052595,-0.8914944266548748,0.37300815337169624,1.3809970386701367,0.13157930158627856,0.0,-4.5942466512309545,1.4287132786063994
Backstop vs EMstress,sin controles,P,721,13,0.299,1.0065177144945792,0.31907075230917714,3.1545282894474487,0.001676466506852714,,,,,,,,,,-1.292534171485084,0.37529848350025435,-3.4440165050232823,0.0006073417586458518,-0.2860164569905048,0.18332025498231722,0.11871237413670199,1.2389408595436182,0.8418666732890133,0.6977200805041861,0.37057415154526996,1.882808278976661,0.060141405258659075,1.7042377949987653,0.35650076604748543,1.7489420651717325e-06,-0.494539853505964,-0.7414536776892001
Backstop vs EMstress,sin controles,PT,721,13,0.261,0.9726622218989616,0.34552113277851887,2.8150585582921317,0.005034034615620353,,,,,,,,,,-1.2937484677172975,0.40559881932340924,-3.189724442185102,0.001496989880510391,-0.3210862458183359,0.15934869526258438,0.04390555329560808,1.4881930388852083,-0.6665870811257023,-0.21194408780300744,0.40368770093323547,-0.525019928308542,0.5997597854860242,0.7607181340959541,0.34526015189238474,0.027572296912367067,0.8250608504302417,7.506385638910947
Backstop vs EMstress,+6 controles,T,614,13,0.118,0.06830697317822909,0.9382268125560927,0.07280432861658949,0.9419903138657149,,,,,,,,,,-0.6043462654155727,0.9650695728467293,-0.626220411895168,0.5314500011859251,-0.5360392922373436,0.18077482102130799,0.0030245469952856485,4.0350331949253615,-0.0816090456023427,1.4935783508543037,1.0732175538510822,1.3916827445608013,0.16462396645755795,1.5618853240325328,0.43846042227400883,0.00036775490605966965,0.4422084938803281,8.121849201110276
Backstop vs EMstress,+6 controles,P,614,13,0.487,0.6715437207253558,0.364088096086005,1.8444539328380667,0.06562153870800924,,,,,,,,,,-0.7249051534935977,0.36713525374251954,-1.974490725431643,0.04879504737563911,-0.0533614327682419,0.10778000749455365,0.6205324739387554,0.6750010610527828,-3.901853733779503,0.5648371547818929,0.4563870630104184,1.237627445125452,0.21634988906935781,1.2363808755072487,0.23480923429863065,1.3983148883234264e-07,-1.1365697443757166,-2.0192310061722663
Backstop vs EMstress,+6 controles,PT,614,13,0.455,0.8374729665702975,0.4138866219572591,2.0234356998781684,0.043560781959063544,,,,,,,,,,-0.9424943441979425,0.4232963920027038,-2.226558888770123,0.026422387355099053,-0.10502137762764507,0.0951890502133754,0.26990010580302615,1.2542463818755016,-3.0345796744775484,0.2131586160252471,0.4976655929942339,0.42831696429477056,0.6686051828569126,1.0506315825955446,0.28485155621000935,0.0002257150662381413,-0.5358071735776123,1.1952903429410977
