"grid","controles","fe","N","b3","b3_t","b3_p","b4_cr","b4_cr_t","b4_cr_p","s_cr","s_cr_p","b4_bk","b4_bk_t","b4_bk_p","s_bk","s_bk_p","b4_em","b4_em_t","b4_em_p","s_em","s_em_p"
"vector unico","sin controles","T",721,1.83180868777459,4.01481746270945,6.67062430765132e-05,-2.38092821945699,-4.63337321656281,4.37881814714141e-06,-0.549119531682399,0.0259005932854916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vector unico","sin controles","P",721,0.983082640956141,3.10679425352815,0.00196751434634049,-1.1807615481126,-3.36735321137014,0.000800330348829565,-0.197678907156459,0.259233121491069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vector unico","sin controles","PT",721,0.950679977122657,2.9965183326072,0.00284102484088356,-1.19244230295075,-3.44863462246184,0.000601997604879876,-0.241762325828094,0.0901116598759184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vector unico","+6 controles","T",614,0.0252006761395768,0.0294702666661265,0.976500971280365,-0.428643783801107,-0.490997761517845,0.623637594623586,-0.40344310766153,0.0644084997213716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vector unico","+6 controles","P",614,0.640335189425556,1.81522837722864,0.069997256644988,-0.618928442310499,-1.68960889081696,0.0916319875550797,0.021406747115057,0.838435282557203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vector unico","+6 controles","PT",614,0.811377670565234,2.1622627097463,0.0310696003150733,-0.839247851015635,-2.17012282498522,0.0304657498514824,-0.0278701804504009,0.741652060934234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Backstop vs EMstress","sin controles","T",721,1.83180868777459,4.01481746270946,6.67424142992811e-05,NA,NA,NA,NA,NA,-2.50985361133354,-4.79434360440638,2.04340505821769e-06,-0.678044923558955,0.00450279756292622,-0.450811649104458,-0.959052190200008,0.337904493102133,1.38099703867013,1.45529308308282e-29
"Backstop vs EMstress","sin controles","P",721,1.00651771449458,3.20378579116066,0.00141792518271942,NA,NA,NA,NA,NA,-1.29253417148508,-3.49779432323588,0.000498820932554273,-0.286016456990505,0.113065571184607,0.697720080504183,1.91220805717405,0.0562579917855829,1.70423779499876,1.2032200112023e-06
"Backstop vs EMstress","sin controles","PT",721,0.972662221898964,3.05797873217418,0.00232580013682414,NA,NA,NA,NA,NA,-1.2937484677173,-3.46497570253596,0.000567426534162091,-0.321086245818337,0.0286061989641764,-0.211944087802996,-0.570325533728543,0.568666586417066,0.760718134095968,0.016690761150947
"Backstop vs EMstress","+6 controles","T",614,0.0683069731782275,0.0798051534086031,0.936423468905209,NA,NA,NA,NA,NA,-0.604346265415572,-0.686437427396398,0.49274866250602,-0.536039292237345,0.0011525610357573,1.4935783508543,1.52550620321874,0.127751548095123,1.56188532403253,9.4325477022574e-05
"Backstop vs EMstress","+6 controles","P",614,0.671040682053054,1.90175979972914,0.0576926911734771,NA,NA,NA,NA,NA,-0.722611496398751,-2.02437289062454,0.043384890359558,-0.0515708143456963,0.62628961098398,0.765703534956359,1.74684808583184,0.0811875875731088,1.43674421700941,2.1711068682202e-10
"Backstop vs EMstress","+6 controles","PT",614,0.837472966570298,2.24451917956339,0.0252364255582145,NA,NA,NA,NA,NA,-0.942494344197942,-2.46983589870081,0.0138509749563405,-0.105021377627644,0.221012605777682,0.21315861602523,0.475115488646245,0.634912545477244,1.05063158259553,4.28884380493141e-05
