,q_total,q_con_dato,cobertura,primer,ultimo,n_banks_med,q_pocos_bancos,median,max,count
southafrica,91,91,100%,2004Q1,2026Q3,6.0,0,2.4147006688464105,15.938962002017114,89
poland,91,91,100%,2004Q1,2026Q3,8.0,0,2.315982080008835,2.8861952803521578,14
philippines,91,91,100%,2004Q1,2026Q3,5.0,0,2.568762689620684,11.319437613880424,89
peru,91,91,100%,2004Q1,2026Q3,3.0,6,2.1751680698813836,8.677223167311043,66
pakistan,82,82,100%,2006Q2,2026Q3,6.0,0,11.581474142184868,11.581474142184868,1
mexico,91,91,100%,2004Q1,2026Q3,4.0,13,2.377607771427346,13.924602741294525,77
malaysia,91,91,100%,2004Q1,2026Q3,6.0,0,2.1873953989842043,5.862610215963846,40
indonesia,91,91,100%,2004Q1,2026Q3,4.0,0,2.359703463332859,17.47585048848481,86
hungary,91,91,100%,2004Q1,2026Q3,2.0,91,2.8953344973160786,4.31592463946143,14
colombia,87,87,100%,2005Q1,2026Q3,3.0,23,2.3564309605454477,16.71966732471934,70
china,81,81,100%,2006Q3,2026Q3,9.0,2,3.786596229033543,28.971292217897943,79
chile,91,91,100%,2004Q1,2026Q3,4.0,0,2.211933735376629,11.632987722659262,75
brazil,91,91,100%,2004Q1,2026Q3,8.0,0,4.006896067552684,15.543826980351565,75
turkey,91,91,100%,2004Q1,2026Q3,8.0,0,6.042605537267488,27.987747577209195,63
