country,quarter,GaR
brazil,2007Q2,0.018709831356676143
brazil,2007Q3,0.00988354770560234
brazil,2007Q4,0.000815807219378066
brazil,2008Q1,-0.012243735186029156
brazil,2008Q2,-0.011071732088675797
brazil,2008Q3,-0.054659822205759254
brazil,2008Q4,-0.10245882803785043
brazil,2009Q1,-0.10569371569771961
brazil,2009Q2,-0.07431933254133324
brazil,2009Q3,-0.04702740006811015
brazil,2009Q4,-0.00312436357487815
brazil,2010Q1,0.02472989691201035
brazil,2010Q2,-0.016050421479281596
brazil,2010Q3,0.00036349381613078047
brazil,2010Q4,0.008906573136624282
brazil,2011Q1,0.003896643017436377
brazil,2011Q2,0.0008031940840883545
brazil,2011Q3,-0.07278057522819488
brazil,2011Q4,-0.025976805810160992
brazil,2012Q1,-0.011090866524865045
brazil,2012Q2,-0.0237852421827393
brazil,2012Q3,-0.005339789554752561
brazil,2012Q4,-0.003743840581250161
brazil,2013Q1,0.003038930651780472
brazil,2013Q2,-0.01938106028101645
brazil,2013Q3,-0.019674336416627122
brazil,2013Q4,-0.009083470304765764
brazil,2014Q1,-0.005459645258166529
brazil,2014Q2,-0.014649716938580491
brazil,2014Q3,-0.025644863775606583
brazil,2014Q4,-0.032615393675435825
brazil,2015Q1,-0.03933615341427499
brazil,2015Q2,-0.03090437052391752
brazil,2015Q3,-0.08742647174533999
brazil,2015Q4,-0.05518997006571203
brazil,2016Q1,-0.05240820345119107
brazil,2016Q2,-0.03831143472755045
brazil,2016Q3,-0.022366788153291673
brazil,2016Q4,-0.02343163793995827
brazil,2017Q1,-0.008622355420594943
brazil,2017Q2,-0.005774767288156714
brazil,2017Q3,0.006917884709147129
brazil,2017Q4,0.007586624701695785
brazil,2018Q1,-0.013922241346453132
brazil,2018Q2,-0.015187712199360697
brazil,2018Q3,-0.0007044536717060457
brazil,2018Q4,-0.022293528309597334
brazil,2019Q1,-0.005638856869588885
brazil,2019Q2,-0.0035985822274549988
brazil,2019Q3,-0.006749627971204607
brazil,2019Q4,0.0019032397374989102
brazil,2020Q1,-0.18468919173135806
brazil,2020Q2,-0.10436475355190984
brazil,2020Q3,-0.05158923082043068
brazil,2020Q4,-0.02616697472539909
brazil,2021Q1,-0.01415618179489406
brazil,2021Q2,0.042128535950087795
brazil,2021Q3,-0.011708804792929725
brazil,2021Q4,-0.01642643775511529
brazil,2022Q1,-0.031177099244601318
brazil,2022Q2,-0.041307704243388574
brazil,2022Q3,-0.0341290832393074
brazil,2022Q4,-0.0179332482921709
brazil,2023Q1,-0.0011219487260149402
brazil,2023Q2,0.005433139737492258
brazil,2023Q3,-0.0058918532351042024
brazil,2023Q4,0.007991277106459596
brazil,2024Q1,0.012556217986858548
brazil,2024Q2,-0.007085658153047909
brazil,2024Q3,-0.003060379569254479
brazil,2024Q4,-0.0034999209672148188
brazil,2025Q1,-0.0058186094270800195
brazil,2025Q2,0.0006926680439976185
brazil,2025Q3,-0.0017142456342318785
brazil,2025Q4,0.00050101774499621
brazil,2026Q1,-0.03544857019774497
bulgaria,2011Q3,-0.06818652363591868
bulgaria,2011Q4,-0.028445255207859087
bulgaria,2012Q1,-0.010726172818725978
bulgaria,2012Q2,-0.025439499409907328
bulgaria,2012Q3,-0.009813723303846562
bulgaria,2012Q4,-0.013839122418901957
bulgaria,2013Q1,-0.006305177670909802
bulgaria,2013Q2,-0.018269304962130032
bulgaria,2013Q3,-0.008209543524404287
bulgaria,2013Q4,-0.002591050224118638
bulgaria,2014Q1,-0.0057660210190817116
bulgaria,2014Q2,-0.017754867296587748
bulgaria,2014Q3,-0.018794165138934234
bulgaria,2014Q4,-0.018897061617556242
bulgaria,2015Q1,-0.0036198442152742955
bulgaria,2015Q2,-0.015391860551060923
bulgaria,2015Q3,-0.020193514255642628
bulgaria,2015Q4,-0.009348168825584077
bulgaria,2016Q1,-0.015790846280251396
bulgaria,2016Q2,-0.003688464132457589
bulgaria,2016Q3,0.008004751008155585
bulgaria,2016Q4,0.007722057913346729
bulgaria,2017Q1,0.012243361933436218
bulgaria,2017Q2,0.01635631866331736
bulgaria,2017Q3,0.016519150164973177
bulgaria,2017Q4,0.005186514481967802
bulgaria,2018Q1,-0.009679201590700327
bulgaria,2018Q2,0.0023462752897147193
bulgaria,2018Q3,0.0019379877791479636
bulgaria,2018Q4,-0.019391236414993983
bulgaria,2019Q1,0.007632384599711058
bulgaria,2019Q2,-0.0009996833705342503
bulgaria,2019Q3,-0.006575880484592324
bulgaria,2019Q4,-0.011411637358229226
bulgaria,2020Q1,-0.1716249436293332
bulgaria,2020Q2,-0.07402656811882632
bulgaria,2020Q3,-0.05202415558961281
bulgaria,2020Q4,-0.041412094311820156
bulgaria,2021Q1,-0.010585899852630393
bulgaria,2021Q2,0.016601622493828946
bulgaria,2021Q3,0.0014574179746932939
bulgaria,2021Q4,0.011306654322813685
bulgaria,2022Q1,-0.0053590045478875414
bulgaria,2022Q2,-0.01564725340981888
bulgaria,2022Q3,-0.03389884152434029
bulgaria,2022Q4,-0.01827883399434941
bulgaria,2023Q1,-0.014038816975223207
bulgaria,2023Q2,-0.004228697819652814
bulgaria,2023Q3,-0.007806145148003103
bulgaria,2023Q4,0.007460940664350359
bulgaria,2024Q1,0.010921688869858052
bulgaria,2024Q2,0.00569862066497364
bulgaria,2024Q3,0.00600592544505351
bulgaria,2024Q4,0.0076483582068064895
bulgaria,2025Q1,-0.006361429684334806
bulgaria,2025Q2,0.004989237819293453
bulgaria,2025Q3,-0.00028814662175487976
bulgaria,2025Q4,0.013002176944232162
bulgaria,2026Q1,-0.018481935973936735
chile,2007Q2,0.015498378659734306
chile,2007Q3,0.00010587284099712255
chile,2007Q4,-0.015272610886914291
chile,2008Q1,-0.029714284084428954
chile,2008Q2,-0.026597955521894513
chile,2008Q3,-0.08974083161243694
chile,2008Q4,-0.07702478840968986
chile,2009Q1,-0.09094170391163393
chile,2009Q2,-0.0497550374075917
chile,2009Q3,-0.02748100700503995
chile,2009Q4,-0.01751480353144977
chile,2010Q1,-8.547315156081162e-05
chile,2010Q2,-0.01960052441513668
chile,2010Q3,-0.002375639662460776
chile,2010Q4,0.01094027578853406
chile,2011Q1,0.019242692079911233
chile,2011Q2,0.01695198468579878
chile,2011Q3,-0.06918292260781864
chile,2011Q4,-0.005263402405944244
chile,2012Q1,0.010747613301270383
chile,2012Q2,0.01047996598512144
chile,2012Q3,0.01688804047224161
chile,2012Q4,0.00826853549302186
chile,2013Q1,0.01921465173686827
chile,2013Q2,-0.014706635342121816
chile,2013Q3,-0.004050944285832716
chile,2013Q4,0.0053607007815068795
chile,2014Q1,-0.007507419794468525
chile,2014Q2,0.011327005863406705
chile,2014Q3,-0.005329193249034431
chile,2014Q4,-0.01569563253431982
chile,2015Q1,0.00209644821703419
chile,2015Q2,-0.00286741759328114
chile,2015Q3,-0.01669389853739725
chile,2015Q4,-0.004781273256228003
chile,2016Q1,0.009646922722449974
chile,2016Q2,0.0012666700286031972
chile,2016Q3,0.009177605802400398
chile,2016Q4,-0.0011721846432471254
chile,2017Q1,-0.0026330837315244188
chile,2017Q2,0.007283046830348219
