spec,theta,se,t,p,N,paises,b1,b2,R2w
cola: GaR q05 (directo),-0.07720104247244232,0.16980370832797462,-0.4546487425547213,0.6495291906557559,700.0,14.0,3.9588947217345285,-6.970701168614186,0.2876595332185793
cola: GaR skew-t (ABG2019),-0.07700054484449606,0.16699693035153054,-0.4610895822001577,0.6449042600593562,700.0,14.0,3.974484676770606,-7.012192768846542,0.29026308271004986
cola: Expected Shortfall,-0.09028926589235309,0.16714764506606175,-0.5401767153624454,0.5892790027381292,700.0,14.0,3.9245224484771253,-7.488563340358482,0.26862299833213166
sin china,0.09619744708207108,0.10620314775405608,0.9057871552436838,0.36547208894170957,624.0,13.0,5.4435090460746265,-3.636561866198526,0.37229962009678474
sin southafrica,-0.07597000321778241,0.16948017098436624,-0.448253047991026,0.654136833727109,693.0,13.0,3.9649778342439004,-6.960870641691022,0.28806152323659895
sin china+southafrica,0.09701418149251596,0.10630185996572679,0.9126292006912644,0.36186964087902407,617.0,12.0,5.4494673953138575,-3.6136050908272606,0.37244027340260333
sin turkey,-0.1816060353808062,0.18601368970198603,-0.976304677745808,0.3293563963187949,642.0,13.0,1.0141061290663813,-6.918809261134064,0.15937350132069228
sin turkey+china,0.005602115563791034,0.12653708046064566,0.044272521093398784,0.9647064706180388,566.0,12.0,1.3836942196306792,-4.566068343345938,0.2479194176132995
sin brazil,-0.08189416484524491,0.15913738056004617,-0.5146130001451442,0.6070363988933871,643.0,13.0,2.857444616966277,-6.8169595269880165,0.26355273238373733
sin pakistan,-0.07720104247244232,0.16980370832797462,-0.4546487425547213,0.6495291906557559,700.0,14.0,3.9588947217345285,-6.970701168614186,0.2876595332185793
jackknife-2 paises: theta min,-0.39329322539107864,,,,,,,,
jackknife-2 paises: theta max,0.16968688985626165,,,,,,,,
jackknife-2 paises: %<0,0.8791208791208791,,,,,,,,
jackknife-2 paises: %p<0.10,0.03296703296703297,,,,,,,,
JxG (con interaccion de crisis),-0.6132913656083734,,-1.5660210354793767,0.11734369264573696,700.0,,,,
JxG x D(post-2020),0.639850691028343,,1.3866606275187456,0.16554527175016132,700.0,,,,
ventana 2006-2010,-0.8221651010784412,,-5.514115580203948,3.5053818958630245e-08,85.0,9.0,,,
ventana 2009-2013,-0.11412052151661099,,-0.36148101030763646,0.7177398982425292,164.0,10.0,,,
ventana 2012-2016,-0.633179846738587,,-2.4837545704596478,0.013000537443669025,200.0,11.0,,,
ventana 2015-2019,-0.5917120879187996,,-1.6788136711059247,0.09318836337350866,215.0,11.0,,,
ventana 2018-2022,-0.11539142813385295,,-1.9248592496376273,0.05424696916852523,220.0,11.0,,,
ventana 2021-2025,0.07540128028793441,,0.37340674342493546,0.7088457413482194,187.0,14.0,,,
placebo A.,0.0108460512758164,,,0.295,700.0,,,,
placebo B.,-0.1990341860000442,,,0.805,700.0,,,,
placebo C.,-0.01412744504619317,,,0.4083333333333333,700.0,,,,
regresor generado: pert 0% sd(GaR),-0.07720104247244175,,,0.0,,,,,
regresor generado: pert 10% sd(GaR),-0.07899415506035123,,,0.0,,,,,
regresor generado: pert 25% sd(GaR),-0.08755487939201631,,,0.0025,,,,,
regresor generado: pert 50% sd(GaR),-0.09029461977292857,,,0.0675,,,,,
Nickell bias ~ 1/T,0.011363636363636364,,,,,,,,
"GMM dinamico: signo JxG<0 (inferencia no fiable, T>>N)",,,,,,,,,
