spec,theta,se,t,p,N,paises,b1,b2,R2w
pre-2020 (< 2020Q1),-0.3878874307304537,0.37868318333166323,-1.0243059311950726,0.30624853727206247,529,13,4.8646535596493585,-5.066108690454877,0.40539272123126735
solo 2020-2026,-0.2445326602730604,0.13539308385381613,-1.8060941763988643,0.07271515865028366,209,11,3.7624989785164136,-0.8130077457594905,0.36895519265247156
sin 2020-2021,-1.1092966576287624,0.3142252227239987,-3.5302597544918237,0.00045001096896313264,650,13,2.1240620240600196,-6.490344232703302,0.3176901546969362
cola = Expected Shortfall,-0.3899853895312921,0.18598013817378883,-2.096919560124592,0.03639940886332016,738,13,3.057328824812583,-3.7115836829665847,0.15904878932893862
sin deuda/PIB,-0.3349439235018273,0.13465525918289045,-2.4874180595271236,0.01312500069596867,738,13,3.186660503047951,-3.9518079268281623,0.23299628439805564
sin brazil,-0.3049250354849423,0.17261248284641018,-1.7665294563676677,0.0778394260401627,681,12,2.204537833259848,-2.2984543957159542,0.217266721928965
sin chile,-0.36649222902749673,0.18826688412504666,-1.946663273951424,0.05206342577506651,681,12,3.1723672466867514,-3.5825090327071205,0.21352538604884896
sin china,-0.17223825587685426,0.1294995444055015,-1.3300298210897576,0.1840557392833022,662,12,7.144932484116966,-2.7756113348952542,0.2266247860875754
sin colombia,-0.36275469193454646,0.1814902418480072,-1.9987559013687524,0.046106692585624165,681,12,3.0837831759507033,-3.90298405741206,0.17445529704599838
sin hungary,-0.37977605140348925,0.1895062736111011,-2.004028912429854,0.04550430409800632,724,12,2.8753617121372357,-2.454197110838121,0.20727291863209663
sin indonesia,-0.35755663694397655,0.18001511907138557,-1.9862589252971932,0.04750320008670905,655,12,2.733679666896975,-4.211743398651934,0.21010353795364956
sin malaysia,-0.37909473683061834,0.19369809387139303,-1.9571423200597962,0.05079791403940748,703,12,3.0712509259552325,-3.4496000745319053,0.1804206348017099
sin mexico,-0.34089615850767424,0.18960445259209377,-1.7979332966460573,0.07271387045088451,681,12,3.3878385018420425,-3.345997745601967,0.1515283140632261
sin pakistan,-0.35351822194070126,0.1846197157730194,-1.9148454457341602,0.05596549633660408,738,13,3.207443866790794,-3.3145336513444823,0.17862720512515373
sin peru,-0.4126529015909581,0.19950028785234675,-2.0684326124700574,0.03904739893499176,681,12,3.272085925871713,-3.536985822942068,0.1993302215282332
sin philippines,-0.2929206634365204,0.1696345031120333,-1.7267752612984877,0.08477571603573564,650,12,4.687562357634164,-2.2013313635779017,0.23835143452430152
sin poland,-0.3525777191974791,0.1835490449245368,-1.9208910585311718,0.0552066916455598,724,12,3.206790718353705,-3.343360839483048,0.1789960241430455
sin southafrica,-0.3604942246308148,0.2600253726714755,-1.3863809555472684,0.16619748780716503,653,12,4.609886030503546,-4.118317892556523,0.25804531929427443
sin turkey,-0.40997001664231414,0.12612060641993497,-3.2506188186034057,0.0012192280261262844,680,12,0.6017389946221716,-2.603657407541421,0.07083948441801236
