country,CR3,CR5,compuesto(z),Lerner,Boone
brazil,0.6492,0.7527,0.40493722901912044,0.2356,-0.1583
bulgaria,0.5335,0.7397,-0.13399426340534973,0.2843,-0.0868
chile,0.5274,0.7735,-0.022833777578898207,0.1955,-0.0054
china,0.4698,0.6062,-0.9420620153811826,0.3516,-0.0271
colombia,0.6845,0.8549,0.966950746950916,0.3036,-0.1774
indonesia,0.4175,0.5565,-1.3630450910777665,0.2654,0.0229
mexico,0.5083,0.6894,-0.44349768038706894,,-0.1124
peru,0.7362,0.8813,1.2911087012951508,0.3934,-0.0885
poland,0.4661,0.6352,-0.8402409931080193,0.2331,-0.0988
southafrica,0.7737,0.9912,1.8935339359607366,0.1638,-0.0924
turkey,0.4417,0.6678,-0.8108567922876357,0.1966,-0.0817
