variable,sd_total,sd_between,sd_within,within/total
Spread EMBI (pb),86.16,48.257,74.604,0.866
Fragilidad bancaria JLoss,8.26,5.784,6.423,0.778
Growth-at-Risk (q05),0.039,0.014,0.037,0.947
Expected Shortfall,0.039,0.014,0.037,0.945
Prob. crecim. negativo,0.27,0.077,0.261,0.967
Crecimiento PIB (estand.),1.142,0.2,1.128,0.988
Deuda/PIB (%),24.088,24.928,8.956,0.372
Balance fiscal/PIB (%),2.649,1.452,2.306,0.871
Reservas/PIB (%),7.051,7.357,2.448,0.347
Cuenta corriente/PIB (%),1.722,1.186,1.353,0.786
Inflación YoY (%),1.809,1.147,1.488,0.822
REER (índice),19.621,14.293,14.824,0.756
