,Spread EMBI (pb),Fragilidad bancaria JLoss,Growth-at-Risk (q05),Expected Shortfall,Prob. crecim. negativo,Crecimiento PIB (estand.),Deuda/PIB (%),Balance fiscal/PIB (%),Reservas/PIB (%),Cuenta corriente/PIB (%),Inflación YoY (%),REER (índice),VIX (estandarizado)
Spread EMBI (pb),1.0,0.418,-0.562,-0.584,0.614,-0.319,0.449,-0.4,-0.091,0.283,0.542,-0.113,0.345
Fragilidad bancaria JLoss,0.418,1.0,-0.264,-0.27,0.391,-0.231,0.405,-0.4,-0.055,-0.063,0.617,0.296,0.044
Growth-at-Risk (q05),-0.562,-0.264,1.0,0.993,-0.828,0.832,-0.255,0.554,0.068,-0.325,-0.158,0.13,-0.439
Expected Shortfall,-0.584,-0.27,0.993,1.0,-0.838,0.8,-0.266,0.584,0.055,-0.321,-0.194,0.161,-0.437
Prob. crecim. negativo,0.614,0.391,-0.828,-0.838,1.0,-0.716,0.234,-0.548,0.048,0.309,0.191,-0.128,0.405
Crecimiento PIB (estand.),-0.319,-0.231,0.832,0.8,-0.716,1.0,-0.066,0.333,-0.031,-0.249,0.08,0.101,-0.141
Deuda/PIB (%),0.449,0.405,-0.255,-0.266,0.234,-0.066,1.0,-0.626,-0.267,-0.08,0.409,0.33,0.035
Balance fiscal/PIB (%),-0.4,-0.4,0.554,0.584,-0.548,0.333,-0.626,1.0,0.035,-0.085,-0.275,-0.045,-0.179
Reservas/PIB (%),-0.091,-0.055,0.068,0.055,0.048,-0.031,-0.267,0.035,1.0,0.117,-0.128,-0.572,0.046
Cuenta corriente/PIB (%),0.283,-0.063,-0.325,-0.321,0.309,-0.249,-0.08,-0.085,0.117,1.0,-0.16,-0.097,0.168
Inflación YoY (%),0.542,0.617,-0.158,-0.194,0.191,0.08,0.409,-0.275,-0.128,-0.16,1.0,0.135,-0.022
REER (índice),-0.113,0.296,0.13,0.161,-0.128,0.101,0.33,-0.045,-0.572,-0.097,0.135,1.0,-0.07
VIX (estandarizado),0.345,0.044,-0.439,-0.437,0.405,-0.141,0.035,-0.179,0.046,0.168,-0.022,-0.07,1.0
