,Spread EMBI (pb),Fragilidad bancaria JLoss,Growth-at-Risk (q05),Expected Shortfall,Prob. crecim. negativo,Deuda/PIB (%),Balance fiscal/PIB (%),Reservas/PIB (%),Cuenta corriente/PIB (%),Inflación YoY (%),REER (índice),VIX
Spread EMBI (pb),1.0,0.37,-0.338,-0.346,0.322,-0.054,-0.049,-0.347,-0.224,0.487,0.161,0.325
Fragilidad bancaria JLoss,0.37,1.0,-0.208,-0.255,0.19,0.174,-0.31,-0.148,0.044,0.41,-0.172,0.308
Growth-at-Risk (q05),-0.338,-0.208,1.0,0.979,-0.766,-0.153,0.321,0.181,0.098,-0.078,-0.028,-0.418
Expected Shortfall,-0.346,-0.255,0.979,1.0,-0.741,-0.176,0.346,0.158,0.087,-0.092,0.006,-0.441
Prob. crecim. negativo,0.322,0.19,-0.766,-0.741,1.0,0.14,-0.312,-0.024,0.039,0.007,-0.019,0.401
Deuda/PIB (%),-0.054,0.174,-0.153,-0.176,0.14,1.0,-0.712,-0.175,-0.108,-0.101,-0.136,0.011
Balance fiscal/PIB (%),-0.049,-0.31,0.321,0.346,-0.312,-0.712,1.0,0.196,0.14,-0.043,0.119,-0.129
Reservas/PIB (%),-0.347,-0.148,0.181,0.158,-0.024,-0.175,0.196,1.0,0.705,-0.234,-0.267,0.055
Cuenta corriente/PIB (%),-0.224,0.044,0.098,0.087,0.039,-0.108,0.14,0.705,1.0,-0.141,-0.229,0.081
Inflación YoY (%),0.487,0.41,-0.078,-0.092,0.007,-0.101,-0.043,-0.234,-0.141,1.0,-0.08,0.077
REER (índice),0.161,-0.172,-0.028,0.006,-0.019,-0.136,0.119,-0.267,-0.229,-0.08,1.0,-0.062
VIX,0.325,0.308,-0.418,-0.441,0.401,0.011,-0.129,0.055,0.081,0.077,-0.062,1.0
