,N,Media,Desv.,Mín,p25,Mediana,p75,Máx
Spread EMBI (pb),900.0,197.399,107.435,15.0,126.85,175.511,246.563,660.587
Fragilidad bancaria JLoss,1488.0,4.683,4.64,1.434,2.225,2.721,4.778,31.886
Growth-at-Risk (q05),1059.0,0.016,0.038,-0.209,-0.004,0.018,0.041,0.133
Expected Shortfall,1059.0,0.006,0.04,-0.215,-0.015,0.009,0.034,0.119
Prob. crecim. negativo,1059.0,0.095,0.213,0.0,0.0,0.0,0.071,1.0
Asimetría,1059.0,-0.001,0.185,-0.865,-0.078,0.006,0.08,0.586
Desv. condicional,1059.0,0.013,0.003,0.003,0.011,0.012,0.014,0.025
Deuda/PIB (%),1141.0,47.853,20.649,6.5,32.175,46.184,62.86,106.9
Balance fiscal/PIB (%),1141.0,-3.466,2.684,-13.2,-5.2,-3.3,-1.7,6.15
Reservas/PIB (%),1114.0,19.642,10.025,2.648,12.574,16.346,25.672,53.222
Cuenta corriente/PIB (%),1106.0,-0.601,4.042,-8.849,-3.258,-1.463,1.605,16.86
Inflación YoY (%),1085.0,5.964,7.557,-1.988,2.713,4.157,6.862,83.451
REER (índice),1132.0,108.785,19.656,64.56,97.498,103.095,115.4,185.03
VIX,1488.0,19.122,7.406,10.308,14.098,17.033,22.03,58.605
