country,Spread EMBI (pb) (mean),Spread EMBI (pb) (std),Fragilidad bancaria JLoss (mean),Fragilidad bancaria JLoss (std),Growth-at-Risk (q05) (mean),Growth-at-Risk (q05) (std),Expected Shortfall (mean),Expected Shortfall (std),Prob. crecim. negativo (mean),Prob. crecim. negativo (std)
brazil,267.817,78.546,16.096,13.651,-0.004,0.036,-0.01,0.037,0.214,0.309
bulgaria,195.0,98.733,2.956,1.033,-0.007,0.006,-0.011,0.007,0.29,0.193
chile,161.55,47.977,2.902,2.086,0.006,0.035,0.001,0.035,0.098,0.225
china,158.729,59.56,2.318,0.496,0.071,0.014,0.066,0.014,0.0,0.0
colombia,224.213,81.292,4.563,3.442,0.006,0.041,0.0,0.04,0.111,0.264
indonesia,243.15,47.467,2.842,0.749,0.04,0.012,0.036,0.014,0.0,0.0
mexico,267.515,94.622,3.208,2.184,-0.014,0.037,-0.021,0.036,0.225,0.306
peru,183.513,64.519,2.455,0.711,0.024,0.037,0.018,0.037,0.048,0.171
poland,158.969,53.246,2.807,1.176,0.012,0.015,0.007,0.015,0.068,0.139
southafrica,165.333,22.704,2.675,0.644,0.009,0.014,0.006,0.016,0.044,0.073
turkey,249.975,52.053,5.09,2.794,0.064,0.013,0.06,0.014,0.0,0.0
