,Spread EMBI (pb),Fragilidad bancaria JLoss,Growth-at-Risk (q05),Expected Shortfall,Prob. crecim. negativo,Crecimiento PIB,Deuda/PIB (%),Balance fiscal/PIB (%),Reservas/PIB (%),Cuenta corriente/PIB (%),Inflación YoY (%),REER (índice),VIX
Spread EMBI (pb),1.0,0.418,-0.556,-0.563,0.609,-0.319,0.449,-0.4,-0.091,0.283,0.542,-0.113,0.345
Fragilidad bancaria JLoss,0.418,1.0,-0.258,-0.252,0.386,-0.231,0.405,-0.4,-0.055,-0.063,0.617,0.296,0.044
Growth-at-Risk (q05),-0.556,-0.258,1.0,0.991,-0.827,0.85,-0.25,0.552,0.068,-0.324,-0.156,0.128,-0.426
Expected Shortfall,-0.563,-0.252,0.991,1.0,-0.832,0.803,-0.257,0.577,0.044,-0.312,-0.186,0.158,-0.462
Prob. crecim. negativo,0.609,0.386,-0.827,-0.832,1.0,-0.722,0.234,-0.552,0.052,0.307,0.191,-0.134,0.416
Crecimiento PIB,-0.319,-0.231,0.85,0.803,-0.722,1.0,-0.066,0.333,-0.031,-0.249,0.08,0.101,-0.141
Deuda/PIB (%),0.449,0.405,-0.25,-0.257,0.234,-0.066,1.0,-0.626,-0.267,-0.08,0.409,0.33,0.035
Balance fiscal/PIB (%),-0.4,-0.4,0.552,0.577,-0.552,0.333,-0.626,1.0,0.035,-0.085,-0.275,-0.045,-0.179
Reservas/PIB (%),-0.091,-0.055,0.068,0.044,0.052,-0.031,-0.267,0.035,1.0,0.117,-0.128,-0.572,0.046
Cuenta corriente/PIB (%),0.283,-0.063,-0.324,-0.312,0.307,-0.249,-0.08,-0.085,0.117,1.0,-0.16,-0.097,0.168
Inflación YoY (%),0.542,0.617,-0.156,-0.186,0.191,0.08,0.409,-0.275,-0.128,-0.16,1.0,0.135,-0.022
REER (índice),-0.113,0.296,0.128,0.158,-0.134,0.101,0.33,-0.045,-0.572,-0.097,0.135,1.0,-0.07
VIX,0.345,0.044,-0.426,-0.462,0.416,-0.141,0.035,-0.179,0.046,0.168,-0.022,-0.07,1.0
