,N,Media,Desv.,Mín,p25,Mediana,p75,Máx
Spread EMBI (pb),293.0,221.489,86.16,114.883,161.286,196.599,256.185,590.571
Fragilidad bancaria JLoss,293.0,5.865,8.26,1.553,2.193,2.464,4.854,46.833
Growth-at-Risk (q05),281.0,0.004,0.039,-0.19,-0.009,0.008,0.026,0.11
Expected Shortfall,281.0,-0.003,0.04,-0.208,-0.015,0.002,0.021,0.076
Prob. crecim. negativo,281.0,0.143,0.269,0.0,0.0,0.0,0.111,1.0
Asimetría,281.0,-0.015,0.183,-0.855,-0.069,-0.01,0.053,0.633
Desv. condicional,281.0,0.013,0.003,0.003,0.011,0.012,0.014,0.024
Crecimiento PIB,293.0,-0.133,1.142,-5.322,-0.56,-0.092,0.336,5.175
Deuda/PIB (%),256.0,45.419,24.088,4.639,24.162,41.327,65.261,98.71
Balance fiscal/PIB (%),253.0,-3.204,2.649,-12.436,-4.501,-2.717,-1.863,2.766
Reservas/PIB (%),253.0,18.557,7.051,9.522,14.153,15.692,20.118,37.218
Cuenta corriente/PIB (%),253.0,-2.862,1.722,-8.066,-4.037,-2.906,-1.916,2.397
Inflación YoY (%),253.0,4.115,1.809,0.882,2.924,3.551,4.99,10.177
REER (índice),253.0,116.389,19.621,85.08,100.77,111.523,128.977,179.997
VIX,293.0,0.112,1.14,-1.323,-0.589,-0.26,0.529,4.396
