country,year,CR3
brazil,2006,52.68895
brazil,2007,48.00673
brazil,2008,51.31218
brazil,2009,66.40308
brazil,2010,61.85835
brazil,2011,62.03946
brazil,2012,49.3904
brazil,2013,61.0966
brazil,2014,63.43529
brazil,2015,73.8635
brazil,2016,75.25742
brazil,2017,74.96376
brazil,2018,73.84729
brazil,2019,73.17778
brazil,2020,70.45802
brazil,2021,70.39433
bulgaria,2006,44.10645
bulgaria,2007,56.94508
bulgaria,2008,54.09117
bulgaria,2009,58.2812
bulgaria,2010,49.27563
bulgaria,2011,46.46139
bulgaria,2012,44.19016
bulgaria,2013,43.96353
bulgaria,2014,49.64656
bulgaria,2015,56.3944
bulgaria,2016,56.26602
bulgaria,2017,49.39064
bulgaria,2018,52.59978
bulgaria,2019,57.24895
bulgaria,2020,59.38462
bulgaria,2021,63.98545
chile,2006,55.19216
chile,2007,53.29204
chile,2008,
chile,2009,
chile,2010,97.14853
chile,2011,92.51259
chile,2012,92.85911
chile,2013,94.22449
chile,2014,93.67061
chile,2015,48.55059
chile,2016,48.96872
chile,2017,48.89708
chile,2018,49.56129
chile,2019,50.29628
chile,2020,52.00156
chile,2021,52.18181
china,2006,74.93311
china,2007,70.96217
china,2008,72.70753
china,2009,69.00539
china,2010,59.53288
china,2011,53.3779
china,2012,99.9418
china,2013,99.93853
china,2014,40.58651
china,2015,40.57019
china,2016,39.34363
china,2017,37.88866
china,2018,37.70798
china,2019,37.88825
china,2020,38.51958
china,2021,38.3199
colombia,2006,100.0
colombia,2007,
colombia,2008,
colombia,2009,
colombia,2010,100.0
colombia,2011,98.6925
colombia,2012,98.4413
colombia,2013,
colombia,2014,
colombia,2015,64.48856
colombia,2016,66.95708
colombia,2017,68.44537
colombia,2018,61.56152
colombia,2019,62.65531
colombia,2020,63.39769
colombia,2021,73.77148
indonesia,2006,47.91892
indonesia,2007,42.63811
indonesia,2008,43.35226
indonesia,2009,44.53396
indonesia,2010,42.72377
indonesia,2011,41.82341
indonesia,2012,40.60376
indonesia,2013,38.40766
indonesia,2014,40.33564
indonesia,2015,39.81425
indonesia,2016,40.00982
indonesia,2017,40.44444
indonesia,2018,40.35675
indonesia,2019,41.67445
indonesia,2020,42.694
indonesia,2021,43.29935
mexico,2006,57.70306
mexico,2007,59.84275
mexico,2008,59.21181
mexico,2009,41.55072
mexico,2010,50.98429
mexico,2011,55.10509
mexico,2012,54.75074
mexico,2013,37.34406
mexico,2014,37.81215
mexico,2015,52.23878
mexico,2016,51.27603
mexico,2017,49.26705
mexico,2018,49.26028
mexico,2019,48.9417
mexico,2020,50.68558
mexico,2021,49.54401
peru,2006,83.94371
peru,2007,86.49988
peru,2008,85.24906
peru,2009,84.38142
peru,2010,82.49845
peru,2011,74.38601
peru,2012,74.83224
peru,2013,73.52867
peru,2014,73.70262
peru,2015,72.97998
peru,2016,71.76423
peru,2017,71.87423
peru,2018,71.2181
peru,2019,71.26757
peru,2020,71.42738
peru,2021,70.55153
poland,2006,55.74316
poland,2007,58.02315
poland,2008,52.33893
poland,2009,48.24254
poland,2010,44.25288
poland,2011,42.44534
poland,2012,38.56158
poland,2013,40.56721
poland,2014,44.78393
poland,2015,45.38911
poland,2016,43.33002
poland,2017,43.60366
poland,2018,47.82885
poland,2019,47.94167
poland,2020,48.47562
poland,2021,49.89987
southafrica,2006,77.28702
southafrica,2007,77.32166
southafrica,2008,78.3717
southafrica,2009,77.78316
southafrica,2010,79.17689
southafrica,2011,77.80879
southafrica,2012,77.04681
southafrica,2013,76.6933
southafrica,2014,77.38692
southafrica,2015,78.64989
southafrica,2016,75.98981
southafrica,2017,76.7561
southafrica,2018,77.7615
southafrica,2019,77.28469
southafrica,2020,77.36108
southafrica,2021,79.44789
turkey,2006,53.18898
turkey,2007,45.34871
turkey,2008,44.09123
turkey,2009,46.83036
turkey,2010,46.22057
turkey,2011,44.42121
turkey,2012,42.41711
turkey,2013,41.7775
turkey,2014,41.56089
turkey,2015,38.97614
turkey,2016,38.7069
turkey,2017,38.28838
turkey,2018,39.05943
turkey,2019,44.24945
turkey,2020,49.19749
turkey,2021,46.7659
