country,rule_of_law,gov_effectiveness,cbi_garriga,fuente_nota
brazil,-0.15,-0.30,0.74,APROX_WGI2018_verificar
bulgaria,-0.05,0.20,0.55,APROX_WGI2018_verificar
chile,1.00,1.00,0.78,APROX_WGI2018_verificar
china,-0.20,0.50,0.51,APROX_WGI2018_verificar
colombia,-0.40,0.10,0.62,APROX_WGI2018_verificar
hungary,0.35,0.40,0.67,APROX_WGI2018_verificar
india,0.00,0.20,0.55,APROX_WGI2018_verificar
indonesia,-0.30,0.20,0.52,APROX_WGI2018_verificar
malaysia,0.50,1.00,0.44,APROX_WGI2018_verificar
mexico,-0.55,0.15,0.73,APROX_WGI2018_verificar
pakistan,-0.75,-0.50,0.42,APROX_WGI2018_verificar
peru,-0.50,-0.30,0.71,APROX_WGI2018_verificar
philippines,-0.40,0.05,0.49,APROX_WGI2018_verificar
poland,0.55,0.60,0.68,APROX_WGI2018_verificar
southafrica,0.05,0.30,0.64,APROX_WGI2018_verificar
southkorea,1.10,1.10,0.45,APROX_WGI2018_verificar
turkey,-0.20,0.00,0.55,APROX_WGI2018_verificar
