country,quarter,profit_margin
argentina,1999Q1,10.16234268460955
argentina,1999Q2,9.427957126072474
argentina,1999Q3,6.888900211879185
argentina,1999Q4,5.350728443690708
argentina,2000Q1,-101.7764550617763
argentina,2000Q2,17.20757143838065
argentina,2000Q3,8.577872140066964
argentina,2000Q4,10.512429373604911
argentina,2001Q1,-21.28208569117955
argentina,2001Q2,9.955628940037318
argentina,2001Q3,1.8219001633780343
argentina,2001Q4,-178.1171932901655
argentina,2002Q1,-175.77602188927787
argentina,2002Q2,-184.9386786052159
argentina,2002Q3,-194.9947509765625
argentina,2002Q4,-194.9947509765625
argentina,2003Q1,-20.045285361153738
argentina,2003Q2,-25.61605671473912
argentina,2003Q3,-21.88799967084612
argentina,2003Q4,-34.042785099574495
argentina,2004Q1,-10.550928388323102
argentina,2004Q2,21.518686109355517
argentina,2004Q3,16.60000010899135
argentina,2004Q4,8.652771132332939
argentina,2005Q1,-662.089181627546
argentina,2005Q2,5.289401190621512
argentina,2005Q3,13.365742921829224
argentina,2005Q4,20.148956298828125
argentina,2006Q1,19.442957128797257
argentina,2006Q2,24.969885868685587
argentina,2006Q3,23.094328675951278
argentina,2006Q4,21.310728277478898
argentina,2007Q1,15.647214685167585
argentina,2007Q2,18.944343038967677
argentina,2007Q3,-30.40682796921049
argentina,2007Q4,17.21525720187596
argentina,2008Q1,15.962014266422816
argentina,2008Q2,10.350842884608678
argentina,2008Q3,13.442314079829625
argentina,2008Q4,10.06879997253418
argentina,2009Q1,12.312200103487287
argentina,2009Q2,12.194999933242798
argentina,2009Q3,25.54394313267299
argentina,2009Q4,20.051614931651525
argentina,2010Q1,17.133714403424943
argentina,2010Q2,18.398528473717825
argentina,2010Q3,23.119314329964773
argentina,2010Q4,21.653457232883998
argentina,2011Q1,19.952114377702987
argentina,2011Q2,17.586600031171525
brazil,1999Q1,1.3202529234044693
brazil,1999Q2,0.5642235559575698
brazil,1999Q3,1.859823563519646
brazil,1999Q4,-0.06304118212531595
brazil,2000Q1,0.13727646715500774
brazil,2000Q2,1.3500941220451803
brazil,2000Q3,1.32061767578125
brazil,2000Q4,1.252629420336555
brazil,2001Q1,1.0850294337553137
brazil,2001Q2,1.345635273877312
brazil,2001Q3,1.603988198673024
brazil,2001Q4,1.359547026017133
brazil,2002Q1,1.7064882166245405
brazil,2002Q2,1.0609411632313448
brazil,2002Q3,1.149241195005529
brazil,2002Q4,1.138188221875359
brazil,2003Q1,0.8411764537586885
brazil,2003Q2,0.8952999956467572
brazil,2003Q3,1.0685411902034985
brazil,2003Q4,1.1282353120691635
brazil,2004Q1,1.0537705982432646
brazil,2004Q2,1.2236117755665499
brazil,2004Q3,1.1473706189323873
brazil,2004Q4,1.3045764810898726
brazil,2005Q1,4.024470539654002
brazil,2005Q2,4.620847141041475
brazil,2005Q3,4.28584702575908
brazil,2005Q4,5.213441245696124
brazil,2006Q1,4.4999646158779365
brazil,2006Q2,4.759764685350306
brazil,2006Q3,4.282929378397324
brazil,2006Q4,5.554547155604643
brazil,2007Q1,18.580752730369568
brazil,2007Q2,11.78291773445466
brazil,2007Q3,15.994694036595961
brazil,2007Q4,-139.49685721609225
brazil,2008Q1,19.677194230696735
brazil,2008Q2,20.94877066331751
brazil,2008Q3,19.00520008188837
brazil,2008Q4,11.642305703724132
brazil,2009Q1,11.68245293112362
brazil,2009Q2,14.971423499724445
brazil,2009Q3,9.64888219272389
brazil,2009Q4,16.37340596142937
brazil,2010Q1,16.704611778259277
brazil,2010Q2,18.989770889282227
brazil,2010Q3,17.05369428326102
brazil,2010Q4,17.15754727756276
brazil,2011Q1,18.94373557146858
brazil,2011Q2,17.96540624955121
bulgaria,2005Q1,4.354600143432617
bulgaria,2005Q2,0.48582000732421876
bulgaria,2005Q3,2.272439956665039
bulgaria,2006Q1,1.811039924621582
bulgaria,2006Q2,1.7959800720214845
bulgaria,2006Q3,3.5279998779296875
bulgaria,2007Q1,41.050300979614256
bulgaria,2007Q2,34.072740936279295
bulgaria,2007Q3,42.544960021972656
bulgaria,2007Q4,30.30417957305908
bulgaria,2008Q1,42.02653884887695
bulgaria,2008Q2,35.1880197763443
bulgaria,2008Q3,32.87945976257324
bulgaria,2008Q4,17.104340744018554
bulgaria,2009Q1,41.28062057495117
bulgaria,2009Q2,25.151459741592408
bulgaria,2009Q3,17.04885995388031
bulgaria,2009Q4,5.847299575805664
bulgaria,2010Q1,28.657499885559083
bulgaria,2010Q2,12.42262020111084
bulgaria,2010Q3,-0.5718795776367187
bulgaria,2010Q4,7.0268596649169925
bulgaria,2011Q1,12.549600219726562
chile,2003Q1,39.2749662399292
chile,2003Q2,40.14365037282308
chile,2003Q3,40.39333311716715
chile,2003Q4,40.06193335851034
chile,2004Q1,42.511866887410484
chile,2004Q2,22.351033528645832
chile,2004Q3,22.624983151753742
chile,2004Q4,28.614216486612957
chile,2005Q1,24.776199340820312
chile,2005Q2,25.367900212605793
chile,2005Q3,23.994866689046223
chile,2005Q4,16.112149556477863
chile,2006Q1,19.437766710917156
chile,2006Q2,20.76433340708415
chile,2006Q3,20.84581693013509
