especificación,θ,signo
Pooled (sin FE),-0.022667161907950373,neg
FE país,-0.23213574905213719,neg
FE tiempo,0.08248890524856511,POS
FE país+tiempo (M2),-0.2121690566584271,neg
FE2 + VIX_cboe,-0.2121690566584271,neg
FE2 + X_global_idx,-0.2121690566584271,neg
FE2 + X_dom_idx,0.04883968178380371,POS
Primeras diferencias,-0.05970074393861502,neg
EMBI winsorizado 1%,-0.20797446899122385,neg
Sin COVID (≤2019),-0.2142154730558845,neg
Sin 2020–21 (crisis),-0.17651425998602566,neg
Cola = ES (FE2),-0.18683892883844688,neg
