country,metrica,n,corr_nivel,corr_cambio,signo_esperado,flag
BRAZIL,US_HY_spread,11,0.316,0.072,-1,REVISAR
BRAZIL,VIX,68,-0.279,-0.523,-1,ok
BRAZIL,OFR_FSI,75,-0.047,-0.406,-1,ok
BRAZIL,OFR_FSI_EM,75,-0.284,-0.395,-1,ok
BRAZIL,EM_OAS,11,0.399,0.128,-1,REVISAR
BRAZIL,SRISK_world,75,-0.342,-0.209,-1,ok
BULGARIA,US_HY_spread,11,0.012,0.184,-1,REVISAR
BULGARIA,VIX,50,-0.688,-0.642,-1,ok
BULGARIA,OFR_FSI,57,-0.388,-0.505,-1,ok
BULGARIA,OFR_FSI_EM,57,-0.462,-0.391,-1,ok
BULGARIA,EM_OAS,11,0.034,0.126,-1,REVISAR
BULGARIA,SRISK_world,57,-0.172,-0.276,-1,ok
CHILE,US_HY_spread,11,-0.095,0.158,-1,ok
CHILE,VIX,68,-0.415,-0.259,-1,ok
CHILE,OFR_FSI,75,-0.17,-0.18,-1,ok
CHILE,OFR_FSI_EM,75,-0.274,-0.194,-1,ok
CHILE,EM_OAS,11,-0.114,0.078,-1,ok
CHILE,SRISK_world,75,-0.384,-0.109,-1,ok
CHINA,US_HY_spread,11,0.349,0.106,-1,REVISAR
CHINA,VIX,87,-0.366,-0.437,-1,ok
CHINA,OFR_FSI,94,-0.177,-0.362,-1,ok
CHINA,OFR_FSI_EM,94,-0.46,-0.271,-1,ok
CHINA,EM_OAS,11,0.42,0.059,-1,REVISAR
CHINA,SRISK_world,94,-0.725,-0.416,-1,ok
COLOMBIA,US_HY_spread,11,-0.271,-0.026,-1,ok
COLOMBIA,VIX,63,-0.465,-0.427,-1,ok
COLOMBIA,OFR_FSI,70,-0.29,-0.367,-1,ok
COLOMBIA,OFR_FSI_EM,70,-0.353,-0.395,-1,ok
COLOMBIA,EM_OAS,11,-0.304,-0.067,-1,ok
COLOMBIA,SRISK_world,70,-0.358,-0.122,-1,ok
HUNGARY,US_HY_spread,11,-0.052,0.035,-1,ok
HUNGARY,VIX,82,-0.707,-0.38,-1,ok
HUNGARY,OFR_FSI,89,-0.556,-0.264,-1,ok
HUNGARY,OFR_FSI_EM,89,-0.512,-0.258,-1,ok
HUNGARY,EM_OAS,11,-0.041,-0.033,-1,ok
HUNGARY,SRISK_world,89,-0.399,-0.134,-1,ok
INDIA,US_HY_spread,11,0.253,-0.42,-1,REVISAR
INDIA,VIX,76,-0.534,-0.374,-1,ok
INDIA,OFR_FSI,83,-0.309,-0.345,-1,ok
INDIA,OFR_FSI_EM,83,-0.441,-0.361,-1,ok
INDIA,EM_OAS,11,0.44,-0.345,-1,REVISAR
INDIA,SRISK_world,83,-0.476,-0.218,-1,ok
INDONESIA,US_HY_spread,11,0.344,0.185,-1,REVISAR
INDONESIA,VIX,83,-0.448,-0.418,-1,ok
INDONESIA,OFR_FSI,90,-0.122,-0.279,-1,ok
INDONESIA,OFR_FSI_EM,90,-0.318,-0.308,-1,ok
INDONESIA,EM_OAS,11,0.354,0.152,-1,REVISAR
INDONESIA,SRISK_world,90,-0.472,-0.204,-1,ok
MALAYSIA,US_HY_spread,11,0.038,-0.073,-1,REVISAR
MALAYSIA,VIX,33,-0.744,-0.534,-1,ok
MALAYSIA,OFR_FSI,40,-0.418,-0.458,-1,ok
MALAYSIA,OFR_FSI_EM,40,-0.494,-0.413,-1,ok
MALAYSIA,EM_OAS,11,0.055,-0.194,-1,REVISAR
MALAYSIA,SRISK_world,40,-0.405,-0.011,-1,ok
MEXICO,US_HY_spread,10,0.506,0.49,-1,REVISAR
MEXICO,VIX,71,-0.557,-0.288,-1,ok
MEXICO,OFR_FSI,77,-0.322,-0.188,-1,ok
MEXICO,OFR_FSI_EM,77,-0.363,-0.212,-1,ok
MEXICO,EM_OAS,10,0.442,0.666,-1,REVISAR
MEXICO,SRISK_world,77,-0.294,-0.125,-1,ok
PAKISTAN,US_HY_spread,11,-0.091,0.437,-1,ok
PAKISTAN,VIX,31,-0.742,-0.484,-1,ok
PAKISTAN,OFR_FSI,38,-0.731,-0.527,-1,ok
PAKISTAN,OFR_FSI_EM,38,-0.681,-0.5,-1,ok
PAKISTAN,EM_OAS,11,-0.262,0.265,-1,ok
PAKISTAN,SRISK_world,38,-0.607,-0.228,-1,ok
PERU,US_HY_spread,11,-0.047,0.169,-1,ok
PERU,VIX,59,-0.522,-0.485,-1,ok
PERU,OFR_FSI,66,-0.198,-0.478,-1,ok
PERU,OFR_FSI_EM,66,-0.335,-0.453,-1,ok
PERU,EM_OAS,11,-0.116,0.042,-1,ok
PERU,SRISK_world,66,-0.575,-0.159,-1,ok
PHILIPPINES,US_HY_spread,11,0.362,-0.037,-1,REVISAR
PHILIPPINES,VIX,87,-0.587,-0.398,-1,ok
PHILIPPINES,OFR_FSI,94,-0.265,-0.263,-1,ok
PHILIPPINES,OFR_FSI_EM,94,-0.295,-0.249,-1,ok
PHILIPPINES,EM_OAS,11,0.474,-0.072,-1,REVISAR
PHILIPPINES,SRISK_world,94,-0.393,-0.269,-1,ok
POLAND,US_HY_spread,11,-0.514,-0.079,-1,ok
POLAND,VIX,87,-0.455,-0.315,-1,ok
POLAND,OFR_FSI,94,-0.268,-0.241,-1,ok
POLAND,OFR_FSI_EM,94,-0.357,-0.265,-1,ok
POLAND,EM_OAS,11,-0.529,-0.134,-1,ok
POLAND,SRISK_world,94,-0.479,-0.202,-1,ok
SOUTHAFRICA,US_HY_spread,11,0.194,0.192,-1,REVISAR
SOUTHAFRICA,VIX,87,-0.454,-0.287,-1,ok
SOUTHAFRICA,OFR_FSI,94,-0.254,-0.222,-1,ok
SOUTHAFRICA,OFR_FSI_EM,94,-0.489,-0.248,-1,ok
SOUTHAFRICA,EM_OAS,11,0.185,0.158,-1,REVISAR
SOUTHAFRICA,SRISK_world,94,-0.551,-0.094,-1,ok
SOUTHKOREA,US_HY_spread,11,0.435,0.18,-1,REVISAR
SOUTHKOREA,VIX,87,-0.565,-0.502,-1,ok
SOUTHKOREA,OFR_FSI,94,-0.307,-0.355,-1,ok
SOUTHKOREA,OFR_FSI_EM,94,-0.426,-0.304,-1,ok
