country,period,EMBI_bps,freq
bulgaria,2006Q4_annual,66.0,annual_anchor
bulgaria,2007Q4_annual,153.0,annual_anchor
bulgaria,2008Q4_annual,674.0,annual_anchor
bulgaria,2009Q4_annual,179.0,annual_anchor
bulgaria,2010Q1,157.0,quarterly
bulgaria,2010Q2,334.0,quarterly
bulgaria,2010Q3,256.0,quarterly
bulgaria,2010Q4,195.0,quarterly
bulgaria,2010Q4_annual,195.0,annual_anchor
bulgaria,2011Q1,185.0,quarterly
bulgaria,2011Q2,198.0,quarterly
bulgaria,2011Q3,351.0,quarterly
bulgaria,2011Q4,340.0,quarterly
bulgaria,2011Q4_annual,340.0,annual_anchor
bulgaria,2012Q1,248.0,quarterly
bulgaria,2012Q2,292.0,quarterly
bulgaria,2012Q3,124.0,quarterly
bulgaria,2012Q4,94.0,quarterly
bulgaria,2012Q4_annual,94.0,annual_anchor
bulgaria,2013Q1,99.0,quarterly
bulgaria,2013Q2,114.0,quarterly
bulgaria,2013Q3,65.0,quarterly
bulgaria,2013Q4,68.0,quarterly
bulgaria,2013Q4_annual,68.0,annual_anchor
china,2006Q4_annual,51.0,annual_anchor
china,2007Q4_annual,120.0,annual_anchor
china,2008Q4_annual,228.0,annual_anchor
china,2009Q4_annual,64.0,annual_anchor
china,2010Q1,69.0,quarterly
china,2010Q2,86.0,quarterly
china,2010Q3,81.0,quarterly
china,2010Q4,126.0,quarterly
china,2010Q4_annual,126.0,annual_anchor
china,2011Q1,151.0,quarterly
china,2011Q2,155.0,quarterly
china,2011Q3,293.0,quarterly
china,2011Q4,278.0,quarterly
china,2011Q4_annual,278.0,annual_anchor
china,2012Q1,249.0,quarterly
china,2012Q2,222.0,quarterly
china,2012Q3,171.0,quarterly
china,2012Q4,146.0,quarterly
china,2012Q4_annual,146.0,annual_anchor
china,2013Q1,153.0,quarterly
china,2013Q2,194.0,quarterly
china,2013Q3,175.0,quarterly
china,2013Q4,149.0,quarterly
china,2013Q4_annual,149.0,annual_anchor
china,2014Q1,155.0,quarterly
china,2014Q2,133.0,quarterly
china,2014Q3,136.0,quarterly
china,2014Q4,170.0,quarterly
china,2014Q4_annual,170.0,annual_anchor
hungary,2006Q4_annual,58.0,annual_anchor
hungary,2007Q4_annual,84.0,annual_anchor
hungary,2008Q4_annual,504.0,annual_anchor
hungary,2009Q4_annual,186.0,annual_anchor
hungary,2010Q1,156.0,quarterly
hungary,2010Q2,363.0,quarterly
hungary,2010Q3,300.0,quarterly
hungary,2010Q4,345.0,quarterly
hungary,2010Q4_annual,345.0,annual_anchor
hungary,2011Q1,276.0,quarterly
hungary,2011Q2,268.0,quarterly
hungary,2011Q3,512.0,quarterly
hungary,2011Q4,605.0,quarterly
hungary,2011Q4_annual,605.0,annual_anchor
hungary,2012Q1,578.0,quarterly
hungary,2012Q2,535.0,quarterly
hungary,2012Q3,383.0,quarterly
hungary,2012Q4,345.0,quarterly
hungary,2012Q4_annual,345.0,annual_anchor
hungary,2013Q1,429.0,quarterly
hungary,2013Q2,352.0,quarterly
hungary,2013Q3,329.0,quarterly
hungary,2013Q4,278.0,quarterly
hungary,2013Q4_annual,278.0,annual_anchor
hungary,2014Q1,267.0,quarterly
hungary,2014Q2,204.0,quarterly
hungary,2014Q3,218.0,quarterly
hungary,2014Q4,213.0,quarterly
hungary,2014Q4_annual,213.0,annual_anchor
indonesia,2006Q4_annual,153.0,annual_anchor
indonesia,2007Q4_annual,275.0,annual_anchor
indonesia,2008Q4_annual,762.0,annual_anchor
indonesia,2009Q4_annual,230.0,annual_anchor
indonesia,2010Q1,201.0,quarterly
indonesia,2010Q2,274.0,quarterly
indonesia,2010Q3,192.0,quarterly
indonesia,2010Q4,183.0,quarterly
indonesia,2010Q4_annual,183.0,annual_anchor
indonesia,2011Q1,204.0,quarterly
indonesia,2011Q2,178.0,quarterly
indonesia,2011Q3,332.0,quarterly
indonesia,2011Q4,274.0,quarterly
indonesia,2011Q4_annual,274.0,annual_anchor
indonesia,2012Q1,210.0,quarterly
indonesia,2012Q2,273.0,quarterly
indonesia,2012Q3,204.0,quarterly
indonesia,2012Q4,179.0,quarterly
indonesia,2012Q4_annual,179.0,annual_anchor
indonesia,2013Q1,226.0,quarterly
indonesia,2013Q2,275.0,quarterly
indonesia,2013Q3,324.0,quarterly
indonesia,2013Q4,292.0,quarterly
indonesia,2013Q4_annual,292.0,annual_anchor
indonesia,2014Q1,267.0,quarterly
indonesia,2014Q2,253.0,quarterly
indonesia,2014Q3,256.0,quarterly
indonesia,2014Q4,266.0,quarterly
indonesia,2014Q4_annual,266.0,annual_anchor
pakistan,2006Q4_annual,154.0,annual_anchor
pakistan,2007Q4_annual,535.0,annual_anchor
pakistan,2008Q4_annual,2112.0,annual_anchor
pakistan,2009Q4_annual,688.0,annual_anchor
pakistan,2010Q1,490.0,quarterly
pakistan,2010Q2,603.0,quarterly
pakistan,2010Q3,695.0,quarterly
pakistan,2010Q4,654.0,quarterly
pakistan,2010Q4_annual,654.0,annual_anchor
pakistan,2011Q1,774.0,quarterly
pakistan,2011Q2,857.0,quarterly
pakistan,2011Q3,1136.0,quarterly
pakistan,2011Q4,1274.0,quarterly
pakistan,2011Q4_annual,1274.0,annual_anchor
pakistan,2012Q1,1147.0,quarterly
pakistan,2012Q2,1136.0,quarterly
pakistan,2012Q3,976.0,quarterly
pakistan,2012Q4,798.0,quarterly
pakistan,2012Q4_annual,798.0,annual_anchor
pakistan,2013Q1,1039.0,quarterly
pakistan,2013Q2,703.0,quarterly
pakistan,2013Q3,637.0,quarterly
pakistan,2013Q4,606.0,quarterly
pakistan,2013Q4_annual,606.0,annual_anchor
pakistan,2014Q1,461.0,quarterly
pakistan,2014Q2,501.0,quarterly
pakistan,2014Q3,554.0,quarterly
pakistan,2014Q4,525.0,quarterly
pakistan,2014Q4_annual,525.0,annual_anchor
poland,2006Q4_annual,47.0,annual_anchor
poland,2007Q4_annual,67.0,annual_anchor
poland,2008Q4_annual,314.0,annual_anchor
poland,2009Q4_annual,124.0,annual_anchor
poland,2010Q1,113.0,quarterly
poland,2010Q2,217.0,quarterly
poland,2010Q3,161.0,quarterly
poland,2010Q4,151.0,quarterly
poland,2010Q4_annual,151.0,annual_anchor
poland,2011Q1,156.0,quarterly
poland,2011Q2,152.0,quarterly
poland,2011Q3,309.0,quarterly
poland,2011Q4,310.0,quarterly
poland,2011Q4_annual,310.0,annual_anchor
poland,2012Q1,205.0,quarterly
poland,2012Q2,215.0,quarterly
poland,2012Q3,144.0,quarterly
poland,2012Q4,108.0,quarterly
poland,2012Q4_annual,108.0,annual_anchor
poland,2013Q1,145.0,quarterly
poland,2013Q2,157.0,quarterly
poland,2013Q3,153.0,quarterly
poland,2013Q4,118.0,quarterly
poland,2013Q4_annual,118.0,annual_anchor
poland,2014Q1,112.0,quarterly
poland,2014Q2,103.0,quarterly
poland,2014Q3,105.0,quarterly
poland,2014Q4,96.0,quarterly
poland,2014Q4_annual,96.0,annual_anchor
southafrica,2006Q4_annual,84.0,annual_anchor
southafrica,2007Q4_annual,164.0,annual_anchor
southafrica,2008Q4_annual,562.0,annual_anchor
southafrica,2009Q4_annual,149.0,annual_anchor
southafrica,2010Q1,157.0,quarterly
southafrica,2010Q2,210.0,quarterly
southafrica,2010Q3,158.0,quarterly
southafrica,2010Q4,145.0,quarterly
southafrica,2010Q4_annual,145.0,annual_anchor
southafrica,2011Q1,163.0,quarterly
southafrica,2011Q2,159.0,quarterly
southafrica,2011Q3,278.0,quarterly
southafrica,2011Q4,261.0,quarterly
southafrica,2011Q4_annual,261.0,annual_anchor
southafrica,2012Q1,213.0,quarterly
southafrica,2012Q2,213.0,quarterly
southafrica,2012Q3,176.0,quarterly
southafrica,2012Q4,163.0,quarterly
southafrica,2012Q4_annual,163.0,annual_anchor
southafrica,2013Q1,217.0,quarterly
southafrica,2013Q2,268.0,quarterly
southafrica,2013Q3,275.0,quarterly
southafrica,2013Q4,247.0,quarterly
southafrica,2013Q4_annual,247.0,annual_anchor
southafrica,2014Q1,225.0,quarterly
southafrica,2014Q2,222.0,quarterly
southafrica,2014Q3,233.0,quarterly
southafrica,2014Q4,238.0,quarterly
southafrica,2014Q4_annual,238.0,annual_anchor
turkey,2006Q4_annual,207.0,annual_anchor
turkey,2007Q4_annual,239.0,annual_anchor
turkey,2008Q4_annual,534.0,annual_anchor
turkey,2009Q4_annual,197.0,annual_anchor
turkey,2010Q1,209.0,quarterly
turkey,2010Q2,284.0,quarterly
turkey,2010Q3,220.0,quarterly
turkey,2010Q4,177.0,quarterly
turkey,2010Q4_annual,177.0,annual_anchor
turkey,2011Q1,204.0,quarterly
turkey,2011Q2,201.0,quarterly
turkey,2011Q3,366.0,quarterly
turkey,2011Q4,385.0,quarterly
turkey,2011Q4_annual,385.0,annual_anchor
turkey,2012Q1,306.0,quarterly
turkey,2012Q2,304.0,quarterly
turkey,2012Q3,236.0,quarterly
turkey,2012Q4,177.0,quarterly
turkey,2012Q4_annual,177.0,annual_anchor
turkey,2013Q1,229.0,quarterly
turkey,2013Q2,255.0,quarterly
turkey,2013Q3,284.0,quarterly
turkey,2013Q4,310.0,quarterly
turkey,2013Q4_annual,310.0,annual_anchor
turkey,2014Q1,271.0,quarterly
turkey,2014Q2,224.0,quarterly
turkey,2014Q3,257.0,quarterly
turkey,2014Q4,226.0,quarterly
turkey,2014Q4_annual,226.0,annual_anchor
