country,metrica,n,corr_nivel,corr_cambio,signo_esperado,flag
BRAZIL,US_HY_spread,11,0.316,0.072,-1,REVISAR
BRAZIL,VIX,68,-0.279,-0.523,-1,ok
BRAZIL,SRISK_world,75,-0.342,-0.209,-1,ok
BULGARIA,US_HY_spread,11,0.012,0.184,-1,REVISAR
BULGARIA,VIX,50,-0.688,-0.642,-1,ok
BULGARIA,SRISK_world,57,-0.172,-0.276,-1,ok
CHILE,US_HY_spread,11,-0.095,0.158,-1,ok
CHILE,VIX,68,-0.415,-0.259,-1,ok
CHILE,SRISK_world,75,-0.384,-0.109,-1,ok
CHINA,US_HY_spread,11,0.349,0.106,-1,REVISAR
CHINA,VIX,87,-0.366,-0.437,-1,ok
CHINA,SRISK_world,94,-0.725,-0.416,-1,ok
COLOMBIA,US_HY_spread,11,-0.271,-0.026,-1,ok
COLOMBIA,VIX,63,-0.465,-0.427,-1,ok
COLOMBIA,SRISK_world,70,-0.358,-0.122,-1,ok
HUNGARY,US_HY_spread,11,-0.052,0.035,-1,ok
HUNGARY,VIX,82,-0.707,-0.38,-1,ok
HUNGARY,SRISK_world,89,-0.399,-0.134,-1,ok
INDIA,US_HY_spread,11,0.253,-0.42,-1,REVISAR
INDIA,VIX,76,-0.534,-0.374,-1,ok
INDIA,SRISK_world,83,-0.476,-0.218,-1,ok
INDONESIA,US_HY_spread,11,0.344,0.185,-1,REVISAR
INDONESIA,VIX,83,-0.448,-0.418,-1,ok
INDONESIA,SRISK_world,90,-0.472,-0.204,-1,ok
MALAYSIA,US_HY_spread,11,0.038,-0.073,-1,REVISAR
MALAYSIA,VIX,33,-0.744,-0.534,-1,ok
MALAYSIA,SRISK_world,40,-0.405,-0.011,-1,ok
MEXICO,US_HY_spread,10,0.506,0.49,-1,REVISAR
MEXICO,VIX,71,-0.557,-0.288,-1,ok
MEXICO,SRISK_world,77,-0.294,-0.125,-1,ok
PAKISTAN,US_HY_spread,11,-0.091,0.437,-1,ok
PAKISTAN,VIX,31,-0.742,-0.484,-1,ok
PAKISTAN,SRISK_world,38,-0.607,-0.228,-1,ok
PERU,US_HY_spread,11,-0.047,0.169,-1,ok
PERU,VIX,59,-0.522,-0.485,-1,ok
PERU,SRISK_world,66,-0.575,-0.159,-1,ok
PHILIPPINES,US_HY_spread,11,0.362,-0.037,-1,REVISAR
PHILIPPINES,VIX,87,-0.587,-0.398,-1,ok
PHILIPPINES,SRISK_world,94,-0.393,-0.269,-1,ok
POLAND,US_HY_spread,11,-0.514,-0.079,-1,ok
POLAND,VIX,87,-0.455,-0.315,-1,ok
POLAND,SRISK_world,94,-0.479,-0.202,-1,ok
SOUTHAFRICA,US_HY_spread,11,0.194,0.192,-1,REVISAR
SOUTHAFRICA,VIX,87,-0.454,-0.287,-1,ok
SOUTHAFRICA,SRISK_world,94,-0.551,-0.094,-1,ok
SOUTHKOREA,US_HY_spread,11,0.435,0.18,-1,REVISAR
SOUTHKOREA,VIX,87,-0.565,-0.502,-1,ok
SOUTHKOREA,SRISK_world,94,-0.655,-0.346,-1,ok
TURKEY,US_HY_spread,11,0.574,0.028,-1,REVISAR
TURKEY,VIX,56,-0.464,-0.448,-1,ok
TURKEY,SRISK_world,63,-0.617,-0.129,-1,ok
POOL(within),US_HY_spread,186,0.129,,-1,REVISAR
POOL(within),VIX,1175,-0.497,,-1,ok
POOL(within),SRISK_world,1293,-0.469,,-1,ok
