,"World Financials - Total SRISK (US$ billion)"
2000-06-01,601.033
2000-07-01,364.2576
2000-08-01,288.4938
2000-09-01,296.7033
2000-10-01,336.684
2000-11-01,341.9018
2000-12-01,293.8809
2001-01-01,223.4816
2001-02-01,305.4443
2001-03-01,322.9167
2001-04-01,245.4602
2001-05-01,235.9395
2001-06-01,231.0959
2001-07-01,281.4625
2001-08-01,281.0742
2001-09-01,363.0169
2001-10-01,368.2603
2001-11-01,344.5724
2001-12-01,355.3498
2002-01-01,395.066
2002-02-01,403.8539
2002-03-01,372.3283
2002-04-01,437.6036
2002-05-01,432.2329
2002-06-01,477.8292
2002-07-01,678.7574
2002-08-01,654.9063
2002-09-01,761.0783
2002-10-01,748.8197
2002-11-01,717.0718
2002-12-01,768.9325
2003-01-01,820.7011
2003-02-01,858.6222
2003-03-01,912.7104
2003-04-01,842.9856
2003-05-01,791.9949
2003-06-01,907.5615
2003-07-01,858.2008
2003-08-01,886.1049
2003-09-01,865.546
2003-10-01,961.4629
2003-11-01,954.3567
2003-12-01,907.0232
2004-01-01,840.5826
2004-02-01,881.7457
2004-03-01,852.5215
2004-04-01,852.8995
2004-05-01,925.3476
2004-06-01,960.8731
2004-07-01,938.2049
2004-08-01,952.0335
2004-09-01,947.6943
2004-10-01,926.2142
2004-11-01,877.689
2004-12-01,893.583
2005-01-01,935.4333
2005-02-01,948.5579
2005-03-01,992.1359
2005-04-01,976.5467
2005-05-01,1026.7368
2005-06-01,1061.2176
2005-07-01,1094.9706
2005-08-01,1075.7785
2005-09-01,1089.5771
2005-10-01,913.2976
2005-11-01,953.41
2005-12-01,872.8128
2006-01-01,829.2386
2006-02-01,839.8067
2006-03-01,841.7911
2006-04-01,863.3205
2006-05-01,962.8859
2006-06-01,1084.4081
2006-07-01,1171.3384
2006-08-01,1184.7175
2006-09-01,1101.8334
2006-10-01,1001.604
2006-11-01,1027.4231
2006-12-01,976.2027
2007-01-01,987.2912
2007-02-01,1118.4352
2007-03-01,1090.3869
2007-04-01,1145.3078
2007-05-01,1082.4483
2007-06-01,1079.2396
2007-07-01,1325.0051
2007-08-01,1531.9396
2007-09-01,1653.3506
2007-10-01,1645.3014
2007-11-01,1785.1848
2007-12-01,1990.8542
2008-01-01,2194.509
2008-02-01,2457.4164
2008-03-01,2726.0099
2008-04-01,2655.7517
2008-05-01,2668.0776
2008-06-01,2999.1727
2008-07-01,3254.8782
2008-08-01,3270.2444
2008-09-01,3250.7752
2008-10-01,3500.4344
2008-11-01,3644.6369
2008-12-01,3553.7542
2009-01-01,3725.0079
2009-02-01,3866.3975
2009-03-01,3767.614
2009-04-01,3509.3027
2009-05-01,3235.1011
2009-06-01,3139.8706
2009-07-01,3010.3265
2009-08-01,2779.5524
2009-09-01,2888.2789
2009-10-01,2871.805
2009-11-01,2757.213
2009-12-01,2762.1728
2010-01-01,2660.7112
2010-02-01,2694.9148
2010-03-01,2622.3381
2010-04-01,2672.2418
2010-05-01,2854.2825
2010-06-01,2811.6165
2010-07-01,2604.9541
2010-08-01,2792.5506
2010-09-01,3048.1785
2010-10-01,2928.3345
2010-11-01,3024.6637
2010-12-01,3110.837
2011-01-01,3126.1298
2011-02-01,2517.5399
2011-03-01,2705.5314
2011-04-01,2821.4558
2011-05-01,2840.6097
2011-06-01,3085.8606
2011-07-01,3327.6104
2011-08-01,3351.7409
2011-09-01,3943.7012
2011-10-01,3900.5572
2011-11-01,3910.2877
2011-12-01,3954.3802
2012-01-01,4012.9544
2012-02-01,3814.6375
2012-03-01,3601.0582
2012-04-01,3714.9003
2012-05-01,4163.4333
2012-06-01,3806.403
2012-07-01,4091.6499
2012-08-01,4096.9531
2012-09-01,4054.1933
2012-10-01,3679.8517
2012-11-01,3838.3866
2012-12-01,3641.1652
2013-01-01,3550.4552
2013-02-01,3390.0289
2013-03-01,3583.0925
2013-04-01,3205.6143
2013-05-01,3365.6806
2013-06-01,3284.1277
2013-07-01,3330.7703
2013-08-01,3248.4139
2013-09-01,3271.5768
2013-10-01,3124.785
2013-11-01,3106.5665
2013-12-01,3090.8172
2014-01-01,2953.5015
2014-02-01,3031.4902
2014-03-01,3075.04
2014-04-01,3047.1418
2014-05-01,3143.1671
2014-06-01,3098.482
2014-07-01,2993.7344
2014-08-01,3039.6339
2014-09-01,3017.4297
2014-10-01,3084.3748
2014-11-01,3147.8695
2014-12-01,2919.3283
2015-01-01,3101.1346
2015-02-01,2976.47
2015-03-01,2694.9928
2015-04-01,2556.5281
2015-05-01,2465.0887
2015-06-01,2595.9131
2015-07-01,2548.1828
2015-08-01,2825.7531
2015-09-01,3088.4181
2015-10-01,3191.6077
2015-11-01,3120.6781
2015-12-01,2933.8052
2016-01-01,3417.6319
2016-02-01,3740.9273
2016-03-01,3790.8509
2016-04-01,3845.399
2016-05-01,3868.5042
