quarter,n_banks,sys_assets
2014Q1,11,3891617873815.01
2014Q2,11,3892644879906.62
2014Q3,11,4028720761391.56
2014Q4,11,4213057757068.1
2015Q1,11,4414076186980.819
2015Q2,11,4297364082839.46
2015Q3,11,4661093554818.86
2015Q4,11,4637062555403.35
2016Q1,11,4510224937015.92
2016Q2,11,4661363943626.12
2016Q3,11,4750910171866.52
2016Q4,11,4679250882556.7
2017Q1,11,4681860559767.72
2017Q2,11,4692690688243.95
2017Q3,11,4697333475204.25
2017Q4,11,4693593099197.27
2018Q1,11,4863876940425.02
2018Q2,11,4941545969263.11
2018Q3,11,5100144149668.98
2018Q4,11,5093143509535.91
2019Q1,11,5297505569275.49
2019Q2,11,5371875364213.88
2019Q3,11,5392463642804.33
2019Q4,11,5389532263990.96
2020Q1,11,6036276424390.619
2020Q2,11,6328564160108.03
2020Q3,11,6527965686998.06
2020Q4,11,6479234854749.77
2021Q1,11,6665480017487.37
2021Q2,10,6626498225849.57
2021Q3,10,6971268886736.27
2021Q4,10,6879705808581.75
2022Q1,10,7057165429748.33
2022Q2,10,7361202565666.881
2022Q3,10,7732053287009.12
2022Q4,10,7586543674488.73
2023Q1,10,7781091343375.761
2023Q2,10,7875644256160.43
2023Q3,10,8247909864925.43
2023Q4,10,8196600062678.41
2024Q1,10,8540671618755.02
2024Q2,10,8898207578641.21
2024Q3,10,9118193904701.02
2024Q4,10,9252936176297.781
2025Q1,10,8847495371259.52
2025Q2,10,9030338337848.969
2025Q3,10,9333283128314.879
2025Q4,10,9588740107840.5
2026Q1,10,9988869423377.41
