countryname,bankname,date,bonds,tot_asset,cash_and_st_investments,net_income,net_rev,prof_margin,equity_book,total_liab,lt_borrow,st_borrow,DP
chile,banco_falabella,2008-02-01,101815.0,651727.0,,,,,79234.0,572493.0,101815.0,470678.0,521585.5
chile,banco_do_brasil_s_a,2008-01-01,0.0,28186.0,,,,,20941.0,7245.0,0.0,7245.0,7245.0
chile,banco_de_chile,2008-01-01,1621555.0,15196330.0,,,,,1120203.0,14076127.0,1621555.0,12454572.0,13265349.5
chile,banco_bice,2008-01-01,391721.0,2392250.0,,,,,164445.0,2227805.0,391721.0,1836084.0,2031944.5
chile,bancoestado,2008-01-01,3018423.0,13556302.0,,,,,594198.0,12962104.0,3018423.0,9943681.0,11452892.5
chile,scotiabank_chile,2008-01-01,972116.0,5553464.0,,,,,722655.0,4830809.0,972116.0,3858693.0,4344751.0
chile,bci,2008-01-01,954944.0,10778928.0,,,,,679492.0,10099436.0,954944.0,9144492.0,9621964.0
chile,corpbanca,2008-01-01,701937.0,4691027.0,,,,,464031.0,4226996.0,701937.0,3525059.0,3876027.5
chile,the_bank_of_tokyo_mitsubishi_ufj_ltd,2008-01-01,0.0,85868.0,,,,,16947.0,68921.0,0.0,68921.0,68921.0
chile,hsbc_bank_chile,2008-01-01,0.0,853526.0,,,,,85027.0,768499.0,0.0,768499.0,768499.0
chile,santander_chile,2008-01-01,2222948.0,17286560.0,,,,,1389275.0,15897285.0,2222948.0,13674337.0,14785811.0
chile,itau_corpbanca,2008-01-01,247192.0,2379606.0,,,,,202838.0,2176768.0,247192.0,1929576.0,2053172.0
chile,jp_morgan_chase_bank,2008-01-01,55899.0,566137.0,,,,,164543.0,401594.0,55899.0,345695.0,373644.5
chile,banco_de_la_nacion_argentina,2008-01-01,0.0,18990.0,,,,,15765.0,3225.0,0.0,3225.0,3225.0
chile,rabobank_chile,2008-01-01,57082.0,201553.0,,,,,37213.0,164340.0,57082.0,107258.0,135799.0
chile,banco_sudamericano,2008-01-01,0.0,1016175.0,,,,,114687.0,901488.0,0.0,901488.0,901488.0
chile,banco_security,2008-01-01,328590.0,2686106.0,,,,,163066.0,2523040.0,328590.0,2194450.0,2358745.0
chile,banco_falabella,2008-01-01,97754.0,642521.0,,,,,78537.0,563984.0,97754.0,466230.0,515107.0
chile,deutsche_bank_chile,2008-01-01,0.0,1068982.0,,,,,67756.0,1001226.0,0.0,1001226.0,1001226.0
chile,banco_ripley,2008-01-01,37567.0,273311.0,,,,,27518.0,245793.0,37567.0,208226.0,227009.5
chile,banco_consorcio,2008-01-01,0.0,102929.0,,,,,9368.0,93561.0,0.0,93561.0,93561.0
chile,banco_penta,2008-01-01,0.0,124142.0,,,,,22966.0,101176.0,0.0,101176.0,101176.0
chile,bbva_chile,2008-01-01,585370.0,6177062.0,,,,,362266.0,5814796.0,585370.0,5229426.0,5522111.0
chile,banco_del_desarrollo,2008-01-01,818457.0,3003066.0,,,,,185840.0,2817226.0,818457.0,1998769.0,2407997.5
chile,bancoestado,2008-02-01,3034351.0,13582812.0,,,,,601514.0,12981298.0,3034351.0,9946947.0,11464122.5
chile,banco_de_chile,2008-02-01,1685690.0,15118923.0,,,,,1124120.0,13994803.0,1685690.0,12309113.0,13151958.0
chile,banco_internacional,2008-02-01,13952.0,328180.0,,,,,21946.0,306234.0,13952.0,292282.0,299258.0
chile,hsbc_bank_chile,2008-02-01,0.0,919766.0,,,,,85569.0,834197.0,0.0,834197.0,834197.0
chile,scotiabank_chile,2008-02-01,977868.0,5464654.0,,,,,721961.0,4742693.0,977868.0,3764825.0,4253759.0
chile,bci,2008-02-01,957187.0,10898304.0,,,,,685982.0,10212322.0,957187.0,9255135.0,9733728.5
chile,banco_do_brasil_s_a,2008-02-01,0.0,28469.0,,,,,20888.0,7581.0,0.0,7581.0,7581.0
chile,corpbanca,2008-02-01,698692.0,4624669.0,,,,,439650.0,4185019.0,698692.0,3486327.0,3835673.0
chile,banco_bice,2008-02-01,391191.0,2480010.0,,,,,164657.0,2315353.0,391191.0,1924162.0,2119757.5
chile,banco_sudamericano,2008-02-01,0.0,977091.0,,,,,115357.0,861734.0,0.0,861734.0,861734.0
chile,santander_chile,2008-02-01,2214461.0,17826147.0,,,,,1407070.0,16419077.0,2214461.0,14204616.0,15311846.5
chile,jp_morgan_chase_bank,2008-02-01,56178.0,631055.0,,,,,166984.0,464071.0,56178.0,407893.0,435982.0
chile,banco_de_la_nacion_argentina,2008-02-01,0.0,20566.0,,,,,15732.0,4834.0,0.0,4834.0,4834.0
chile,the_bank_of_tokyo_mitsubishi_ufj_ltd,2008-02-01,0.0,92290.0,,,,,17357.0,74933.0,0.0,74933.0,74933.0
chile,banco_consorcio,2008-02-01,0.0,91582.0,,,,,9600.0,81982.0,0.0,81982.0,81982.0
chile,banco_security,2008-02-01,325422.0,2670734.0,,,,,164216.0,2506518.0,325422.0,2181096.0,2343807.0
chile,banco_paris,2008-01-01,7050.0,186537.0,,,,,28006.0,158531.0,7050.0,151481.0,155006.0
chile,deutsche_bank_chile,2008-02-01,0.0,1200442.0,,,,,69337.0,1131105.0,0.0,1131105.0,1131105.0
chile,banco_ripley,2008-02-01,38587.0,269474.0,,,,,27572.0,241902.0,38587.0,203315.0,222608.5
chile,rabobank_chile,2008-02-01,57333.0,291466.0,,,,,37218.0,254248.0,57333.0,196915.0,225581.5
chile,banco_penta,2008-02-01,0.0,125174.0,,,,,23079.0,102095.0,0.0,102095.0,102095.0
chile,banco_paris,2008-02-01,7335.0,184317.0,,,,,28091.0,156226.0,7335.0,148891.0,152558.5
chile,bbva_chile,2008-02-01,600490.0,6315191.0,,,,,364796.0,5950395.0,600490.0,5349905.0,5650150.0
chile,banco_del_desarrollo,2008-02-01,824360.0,3012803.0,,,,,187697.0,2825106.0,824360.0,2000746.0,2412926.0
chile,scotiabank_chile,2008-03-01,1063764.0,5508349.0,,,,,725224.0,4783125.0,1063764.0,3719361.0,4251243.0
chile,itau_corpbanca,2008-02-01,246569.0,2354832.0,,,,,204555.0,2150277.0,246569.0,1903708.0,2026992.5
chile,banco_de_chile,2008-03-01,1688020.0,15340898.0,,,,,1139039.0,14201859.0,1688020.0,12513839.0,13357849.0
chile,banco_internacional,2008-03-01,13459.0,357578.0,,,,,23536.0,334042.0,13459.0,320583.0,327312.5
chile,bancoestado,2008-03-01,3063668.0,13979177.0,,,,,607845.0,13371332.0,3063668.0,10307664.0,11839498.0
chile,bci,2008-03-01,959651.0,11144358.0,,,,,692758.0,10451600.0,959651.0,9491949.0,9971774.5
chile,hsbc_bank_chile,2008-03-01,0.0,958391.0,,,,,85983.0,872408.0,0.0,872408.0,872408.0
chile,banco_do_brasil_s_a,2008-03-01,0.0,28390.0,,,,,20995.0,7395.0,0.0,7395.0,7395.0
chile,corpbanca,2008-03-01,701995.0,4867520.0,,,,,443293.0,4424227.0,701995.0,3722232.0,4073229.5
chile,banco_bice,2008-03-01,291360.0,2394681.0,,,,,165367.0,2229314.0,291360.0,1937954.0,2083634.0
chile,banco_internacional,2008-01-01,13977.0,331352.0,,,,,21851.0,309501.0,13977.0,295524.0,302512.5
chile,santander_chile,2008-09-01,2372389.0,19592018.0,,,,,1500504.0,18091514.0,2372389.0,15719125.0,16905319.5
chile,deutsche_bank_chile,2008-03-01,0.0,1136501.0,,,,,70642.0,1065859.0,0.0,1065859.0,1065859.0
chile,banco_del_desarrollo,2008-03-01,829097.0,3012008.0,,,,,189991.0,2822017.0,829097.0,1992920.0,2407468.5
chile,banco_paris,2008-03-01,7498.0,186089.0,,,,,28419.0,157670.0,7498.0,150172.0,153921.0
chile,bbva_chile,2008-03-01,634779.0,6488102.0,,,,,368447.0,6119655.0,634779.0,5484876.0,5802265.5
chile,banco_de_chile,2008-04-01,1673835.0,15556006.0,,,,,1156268.0,14399738.0,1673835.0,12725903.0,13562820.5
chile,banco_internacional,2008-04-01,13527.0,356081.0,,,,,23910.0,332171.0,13527.0,318644.0,325407.5
chile,bancoestado,2008-04-01,3009668.0,14079942.0,,,,,618491.0,13461451.0,3009668.0,10451783.0,11956617.0
chile,scotiabank_chile,2008-04-01,1089536.0,5566765.0,,,,,728959.0,4837806.0,1089536.0,3748270.0,4293038.0
chile,bci,2008-04-01,956522.0,11465940.0,,,,,689908.0,10776032.0,956522.0,9819510.0,10297771.0
chile,corpbanca,2008-04-01,696947.0,4901099.0,,,,,449107.0,4451992.0,696947.0,3755045.0,4103518.5
chile,banco_bice,2008-04-01,291210.0,2461411.0,,,,,167644.0,2293767.0,291210.0,2002557.0,2148162.0
chile,hsbc_bank_chile,2008-04-01,0.0,987984.0,,,,,86064.0,901920.0,0.0,901920.0,901920.0
chile,the_bank_of_tokyo_mitsubishi_ufj_ltd,2008-07-01,0.0,89403.0,,,,,18096.0,71307.0,0.0,71307.0,71307.0
chile,hsbc_bank_chile,2008-07-01,0.0,1205555.0,,,,,88975.0,1116580.0,0.0,1116580.0,1116580.0
chile,santander_chile,2008-07-01,2441483.0,18844759.0,,,,,1410844.0,17433915.0,2441483.0,14992432.0,16213173.5
chile,itau_corpbanca,2008-07-01,262056.0,2585385.0,,,,,226442.0,2358943.0,262056.0,2096887.0,2227915.0
chile,banco_do_brasil_s_a,2008-07-01,0.0,36208.0,,,,,21419.0,14789.0,0.0,14789.0,14789.0
chile,banco_de_la_nacion_argentina,2008-07-01,0.0,31383.0,,,,,16389.0,14994.0,0.0,14994.0,14994.0
chile,rabobank_chile,2008-07-01,59555.0,300868.0,,,,,37730.0,263138.0,59555.0,203583.0,233360.5
chile,banco_sudamericano,2008-07-01,0.0,1003491.0,,,,,121093.0,882398.0,0.0,882398.0,882398.0
chile,banco_security,2008-07-01,428877.0,3005917.0,,,,,166738.0,2839179.0,428877.0,2410302.0,2624740.5
chile,banco_falabella,2008-07-01,147838.0,898115.0,,,,,84114.0,814001.0,147838.0,666163.0,740082.0
chile,banco_de_chile,2008-07-01,1695817.0,16358256.0,,,,,1228098.0,15130158.0,1695817.0,13434341.0,14282249.5
chile,banco_ripley,2008-07-01,44465.0,271891.0,,,,,33948.0,237943.0,44465.0,193478.0,215710.5
chile,banco_consorcio,2008-07-01,0.0,107922.0,,,,,8419.0,99503.0,0.0,99503.0,99503.0
chile,banco_penta,2008-07-01,0.0,101270.0,,,,,24028.0,77242.0,0.0,77242.0,77242.0
chile,jp_morgan_chase_bank,2008-07-01,57676.0,572562.0,,,,,182799.0,389763.0,57676.0,332087.0,360925.0
chile,banco_del_desarrollo,2008-07-01,865602.0,3074768.0,,,,,192767.0,2882001.0,865602.0,2016399.0,2449200.0
chile,bancoestado,2008-08-01,3165310.0,14458463.0,,,,,653371.0,13805092.0,3165310.0,10639782.0,12222437.0
chile,banco_paris,2008-07-01,8856.0,185003.0,,,,,28272.0,156731.0,8856.0,147875.0,152303.0
chile,banco_de_chile,2008-08-01,1783206.0,16494671.0,,,,,1248982.0,15245689.0,1783206.0,13462483.0,14354086.0
chile,banco_internacional,2008-08-01,14809.0,383648.0,,,,,27242.0,356406.0,14809.0,341597.0,349001.5
chile,scotiabank_chile,2008-08-01,1137168.0,5660053.0,,,,,743405.0,4916648.0,1137168.0,3779480.0,4348064.0
chile,hsbc_bank_chile,2008-08-01,0.0,1201922.0,,,,,89402.0,1112520.0,0.0,1112520.0,1112520.0
chile,deutsche_bank_chile,2008-07-01,0.0,1377998.0,,,,,69772.0,1308226.0,0.0,1308226.0,1308226.0
chile,bci,2008-12-01,1126865.0,13486511.0,,,,,790448.0,12696063.0,1126865.0,11569198.0,12132630.5
chile,banco_do_brasil_s_a,2008-08-01,0.0,39137.0,,,,,21374.0,17763.0,0.0,17763.0,17763.0
chile,corpbanca,2008-08-01,767812.0,5260073.0,,,,,458848.0,4801225.0,767812.0,4033413.0,4417319.0
chile,banco_bice,2008-08-01,233995.0,2527249.0,,,,,181383.0,2345866.0,233995.0,2111871.0,2228868.5
chile,santander_chile,2008-08-01,2451639.0,18729543.0,,,,,1419634.0,17309909.0,2451639.0,14858270.0,16084089.5
chile,banco_sudamericano,2008-08-01,0.0,916316.0,,,,,121951.0,794365.0,0.0,794365.0,794365.0
chile,bci,2008-08-01,1057503.0,11933536.0,,,,,737140.0,11196396.0,1057503.0,10138893.0,10667644.5
chile,jp_morgan_chase_bank,2008-08-01,57985.0,552688.0,,,,,187929.0,364759.0,57985.0,306774.0,335766.5
chile,banco_de_la_nacion_argentina,2008-08-01,0.0,31262.0,,,,,16473.0,14789.0,0.0,14789.0,14789.0
chile,the_bank_of_tokyo_mitsubishi_ufj_ltd,2008-08-01,0.0,105480.0,,,,,18317.0,87163.0,0.0,87163.0,87163.0
chile,corpbanca,2008-07-01,759643.0,5352510.0,,,,,451813.0,4900697.0,759643.0,4141054.0,4520875.5
chile,banco_falabella,2008-08-01,151071.0,905331.0,,,,,85322.0,820009.0,151071.0,668938.0,744473.5
chile,deutsche_bank_chile,2008-08-01,0.0,1255042.0,,,,,72509.0,1182533.0,0.0,1182533.0,1182533.0
chile,banco_ripley,2008-08-01,46188.0,268296.0,,,,,34334.0,233962.0,46188.0,187774.0,210868.0
chile,rabobank_chile,2008-08-01,60414.0,287199.0,,,,,36095.0,251104.0,60414.0,190690.0,220897.0
chile,banco_consorcio,2008-08-01,0.0,90788.0,,,,,8237.0,82551.0,0.0,82551.0,82551.0
chile,banco_paris,2008-08-01,9488.0,188293.0,,,,,28763.0,159530.0,9488.0,150042.0,154786.0
chile,bbva_chile,2008-08-01,703438.0,7077477.0,,,,,397610.0,6679867.0,703438.0,5976429.0,6328148.0
chile,banco_del_desarrollo,2008-08-01,876422.0,3014168.0,,,,,171500.0,2842668.0,876422.0,1966246.0,2404457.0
chile,banco_security,2008-08-01,451557.0,3035643.0,,,,,170081.0,2865562.0,451557.0,2414005.0,2639783.5
chile,itau_corpbanca,2008-08-01,264443.0,2616001.0,,,,,231007.0,2384994.0,264443.0,2120551.0,2252772.5
chile,banco_de_chile,2008-09-01,1808615.0,17148793.0,,,,,1267109.0,15881684.0,1808615.0,14073069.0,14977376.5
chile,banco_internacional,2008-09-01,24780.0,413327.0,,,,,27689.0,385638.0,24780.0,360858.0,373248.0
chile,bancoestado,2008-09-01,3211397.0,14983341.0,,,,,658161.0,14325180.0,3211397.0,11113783.0,12719481.5
chile,bbva_chile,2008-07-01,694374.0,6918473.0,,,,,391491.0,6526982.0,694374.0,5832608.0,6179795.0
chile,bci,2008-09-01,1082333.0,12934336.0,,,,,741166.0,12193170.0,1082333.0,11110837.0,11652003.5
chile,banco_do_brasil_s_a,2008-09-01,0.0,41018.0,,,,,21603.0,19415.0,0.0,19415.0,19415.0
chile,corpbanca,2008-09-01,771627.0,5484001.0,,,,,467644.0,5016357.0,771627.0,4244730.0,4630543.5
chile,banco_bice,2008-09-01,235642.0,2699376.0,,,,,183611.0,2515765.0,235642.0,2280123.0,2397944.0
chile,banco_penta,2008-08-01,0.0,88679.0,,,,,24311.0,64368.0,0.0,64368.0,64368.0
chile,the_bank_of_tokyo_mitsubishi_ufj_ltd,2008-09-01,0.0,121882.0,,,,,18454.0,103428.0,0.0,103428.0,103428.0
chile,itau_corpbanca,2008-09-01,266675.0,2760111.0,,,,,257163.0,2502948.0,266675.0,2236273.0,2369610.5
chile,jp_morgan_chase_bank,2008-09-01,58285.0,686562.0,,,,,188425.0,498137.0,58285.0,439852.0,468994.5
chile,banco_de_la_nacion_argentina,2008-09-01,0.0,32014.0,,,,,16556.0,15458.0,0.0,15458.0,15458.0
chile,hsbc_bank_chile,2008-09-01,0.0,1490403.0,,,,,90384.0,1400019.0,0.0,1400019.0,1400019.0
chile,scotiabank_chile,2008-09-01,1129733.0,5761597.0,,,,,743367.0,5018230.0,1129733.0,3888497.0,4453363.5
chile,the_bank_of_tokyo_mitsubishi_ufj_ltd,2008-06-01,0.0,85254.0,,,,,17828.0,67426.0,0.0,67426.0,67426.0
chile,banco_sudamericano,2008-06-01,0.0,1083111.0,,,,,119197.0,963914.0,0.0,963914.0,963914.0
chile,banco_security,2008-06-01,402017.0,2974454.0,,,,,162552.0,2811902.0,402017.0,2409885.0,2610893.5
chile,banco_falabella,2008-06-01,146549.0,881129.0,,,,,82626.0,798503.0,146549.0,651954.0,725228.5
chile,deutsche_bank_chile,2008-06-01,0.0,1215997.0,,,,,68752.0,1147245.0,0.0,1147245.0,1147245.0
