quarter,n_banks,sys_assets
2008Q1,25,92249837.0
2008Q2,25,98006056.0
2008Q3,25,101781005.0
2008Q4,25,106072155.0
2009Q1,26,101539031.0
2009Q2,26,99064110.0
2009Q3,26,101131081.0
2009Q4,25,101903765.0
2010Q1,25,101836562.0
2010Q2,25,104400470.0
2010Q3,25,106149911.0
2010Q4,25,108233852.0
2011Q1,25,113782989.0
2011Q2,25,118543653.0
2011Q3,25,125861351.0
2011Q4,24,126301870.0
2012Q1,24,127747082.0
2012Q2,24,135467311.0
2012Q3,24,137172431.0
2012Q4,24,140525867.0
2013Q1,23,141834794.0
2013Q2,23,147208312.0
2013Q3,23,152122680.0
2013Q4,23,158746428.0
2014Q1,23,164154138.0
2014Q2,23,165940071.0
2014Q3,23,175754470.0
2014Q4,23,180881039.0
2015Q1,24,183045366.0
2015Q2,24,184793617.0
2015Q3,24,196812433.0
2015Q4,24,203613216.0
2016Q1,24,205536449.0
2016Q2,24,207307035.0
2016Q3,23,206461403.0
2016Q4,23,211686572.0
2017Q1,21,213608084.0
2017Q2,20,214423926.0
2017Q3,20,216459351.0
2017Q4,20,220364769.0
2018Q1,20,225241395.0
2018Q2,20,234116063.0
2018Q3,20,234929836.0
2018Q4,19,246278780.0
2019Q1,18,246012015.0
2019Q2,18,256733492.0
2019Q3,18,273642047.0
2019Q4,18,290500257.0
2020Q1,18,327141622.0
2020Q2,18,334814314.0
2020Q3,18,324059531.0
2020Q4,18,323126841.0
2021Q1,18,313783591.0
2021Q2,18,328875351.0
2021Q3,18,351920230.0
2021Q4,17,361453309.0
2022Q1,17,363857070.046782
2022Q2,17,392506319.763013
2022Q3,17,407027276.146809
2022Q4,17,396716470.96367204
2023Q1,17,396343977.769606
2023Q2,17,392659947.545656
2023Q3,17,404426364.956806
2023Q4,17,401355353.22167003
2024Q1,17,423083639.560619
2024Q2,17,399443247.787054
2024Q3,17,388779635.86354
2024Q4,17,399960437.426077
2025Q1,17,396492976.149075
2025Q2,17,402253656.211492
2025Q3,17,409058627.010095
2025Q4,17,410032065.538575
2026Q1,17,425573291.590333
