quarter,n_banks,sys_assets
2015Q1,22,1461787772720.826
2015Q2,22,2365813854167.444
2015Q3,24,2464188835842.0
2015Q4,23,1610730347983.0
2016Q2,24,1702521718549.45
2016Q3,24,1800820143853.69
2016Q4,23,1865025600904.8
2017Q1,2,1337408959207.0
2017Q2,24,1945372288718.54
2017Q3,24,1996358549827.42
2017Q4,23,2009310983159.44
2018Q1,1,57866909232.0
2018Q2,22,1968743159847.4
2018Q3,24,2037405488854.83
2018Q4,25,2094896102900.92
2019Q2,25,2343280155907.0703
2019Q3,25,2382421957279.44
2019Q4,25,2418638085698.71
2020Q2,25,2910308161130.01
2020Q3,25,3000677291289.1
2020Q4,26,2924514382758.38
2021Q2,27,2957785666755.34
2021Q3,27,2977256870887.5
2021Q4,29,2991348385545.7803
2022Q2,28,2928517009746.04
2022Q3,29,2944123566530.94
2022Q4,29,3059922930994.04
2023Q2,29,3171450201942.77
2023Q3,29,3205735488064.5996
2023Q4,29,3325931513602.67
2024Q2,30,3300744568079.23
2024Q3,29,3553001439987.68
2024Q4,30,3350966533463.96
2025Q2,30,3478446843487.54
2025Q3,30,3482676022156.672
2025Q4,30,3621742080758.1963
