countryname,bankname,date,mktcap
colombia,bancolombia,2015-01-02,
colombia,bancolombia,2015-01-05,
colombia,bancolombia,2015-01-06,
colombia,bancolombia,2015-01-07,
colombia,bancolombia,2015-01-08,
colombia,bancolombia,2015-01-09,
colombia,bancolombia,2015-01-12,
colombia,bancolombia,2015-01-13,
colombia,bancolombia,2015-01-14,
colombia,bancolombia,2015-01-15,
colombia,bancolombia,2015-01-16,
colombia,bancolombia,2015-01-20,
colombia,bancolombia,2015-01-21,
colombia,bancolombia,2015-01-22,
colombia,bancolombia,2015-01-23,
colombia,bancolombia,2015-01-26,
colombia,bancolombia,2015-01-27,
colombia,bancolombia,2015-01-28,
colombia,bancolombia,2015-01-29,
colombia,bancolombia,2015-01-30,
colombia,bancolombia,2015-02-02,
colombia,bancolombia,2015-02-03,
colombia,bancolombia,2015-02-04,
colombia,bancolombia,2015-02-05,
colombia,bancolombia,2015-02-06,
colombia,bancolombia,2015-02-09,
colombia,bancolombia,2015-02-10,
colombia,bancolombia,2015-02-11,
colombia,bancolombia,2015-02-12,
colombia,bancolombia,2015-02-13,
colombia,bancolombia,2015-02-17,
colombia,bancolombia,2015-02-18,
colombia,bancolombia,2015-02-19,
colombia,bancolombia,2015-02-20,
colombia,bancolombia,2015-02-23,
colombia,bancolombia,2015-02-24,
colombia,bancolombia,2015-02-25,
colombia,bancolombia,2015-02-26,
colombia,bancolombia,2015-02-27,
colombia,bancolombia,2015-03-02,
colombia,bancolombia,2015-03-03,
colombia,bancolombia,2015-03-04,
colombia,bancolombia,2015-03-05,
colombia,bancolombia,2015-03-06,
colombia,bancolombia,2015-03-09,
colombia,bancolombia,2015-03-10,
colombia,bancolombia,2015-03-11,
colombia,bancolombia,2015-03-12,
colombia,bancolombia,2015-03-13,
colombia,bancolombia,2015-03-16,
colombia,bancolombia,2015-03-17,
colombia,bancolombia,2015-03-18,
colombia,bancolombia,2015-03-19,
colombia,bancolombia,2015-03-20,
colombia,bancolombia,2015-03-23,
colombia,bancolombia,2015-03-24,
colombia,bancolombia,2015-03-25,
colombia,bancolombia,2015-03-26,
colombia,bancolombia,2015-03-27,
colombia,bancolombia,2015-03-30,
colombia,bancolombia,2015-03-31,
colombia,bancolombia,2015-04-01,
colombia,bancolombia,2015-04-02,
colombia,bancolombia,2015-04-06,
colombia,bancolombia,2015-04-07,
colombia,bancolombia,2015-04-08,
colombia,bancolombia,2015-04-09,
colombia,bancolombia,2015-04-10,
colombia,bancolombia,2015-04-13,
colombia,bancolombia,2015-04-14,
colombia,bancolombia,2015-04-15,
colombia,bancolombia,2015-04-16,
colombia,bancolombia,2015-04-17,
colombia,bancolombia,2015-04-20,
colombia,bancolombia,2015-04-21,
colombia,bancolombia,2015-04-22,
colombia,bancolombia,2015-04-23,
colombia,bancolombia,2015-04-24,
colombia,bancolombia,2015-04-27,
colombia,bancolombia,2015-04-28,
colombia,bancolombia,2015-04-29,
colombia,bancolombia,2015-04-30,
colombia,bancolombia,2015-05-01,
colombia,bancolombia,2015-05-04,
colombia,bancolombia,2015-05-05,
colombia,bancolombia,2015-05-06,
colombia,bancolombia,2015-05-07,
colombia,bancolombia,2015-05-08,
colombia,bancolombia,2015-05-11,
colombia,bancolombia,2015-05-12,
colombia,bancolombia,2015-05-13,
colombia,bancolombia,2015-05-14,
colombia,bancolombia,2015-05-15,
colombia,bancolombia,2015-05-18,
colombia,bancolombia,2015-05-19,
colombia,bancolombia,2015-05-20,
colombia,bancolombia,2015-05-21,
colombia,bancolombia,2015-05-22,
colombia,bancolombia,2015-05-26,
colombia,bancolombia,2015-05-27,
colombia,bancolombia,2015-05-28,
colombia,bancolombia,2015-05-29,
colombia,bancolombia,2015-06-01,
colombia,bancolombia,2015-06-02,
colombia,bancolombia,2015-06-03,
colombia,bancolombia,2015-06-04,
colombia,bancolombia,2015-06-05,
colombia,bancolombia,2015-06-08,
colombia,bancolombia,2015-06-09,
colombia,bancolombia,2015-06-10,
colombia,bancolombia,2015-06-11,
colombia,bancolombia,2015-06-12,
colombia,bancolombia,2015-06-15,
colombia,bancolombia,2015-06-16,
colombia,bancolombia,2015-06-17,
colombia,bancolombia,2015-06-18,
colombia,bancolombia,2015-06-19,
colombia,bancolombia,2015-06-22,
colombia,bancolombia,2015-06-23,
colombia,bancolombia,2015-06-24,
colombia,bancolombia,2015-06-25,
colombia,bancolombia,2015-06-26,
colombia,bancolombia,2015-06-29,
colombia,bancolombia,2015-06-30,
colombia,bancolombia,2015-07-01,
colombia,bancolombia,2015-07-02,
colombia,bancolombia,2015-07-06,
colombia,bancolombia,2015-07-07,
colombia,bancolombia,2015-07-08,
colombia,bancolombia,2015-07-09,
colombia,bancolombia,2015-07-10,
colombia,bancolombia,2015-07-13,
colombia,bancolombia,2015-07-14,
colombia,bancolombia,2015-07-15,
colombia,bancolombia,2015-07-16,
colombia,bancolombia,2015-07-17,
colombia,bancolombia,2015-07-20,
colombia,bancolombia,2015-07-21,
colombia,bancolombia,2015-07-22,
colombia,bancolombia,2015-07-23,
colombia,bancolombia,2015-07-24,
colombia,bancolombia,2015-07-27,
colombia,bancolombia,2015-07-28,
colombia,bancolombia,2015-07-29,
colombia,bancolombia,2015-07-30,
colombia,bancolombia,2015-07-31,
colombia,bancolombia,2015-08-03,
colombia,bancolombia,2015-08-04,
colombia,bancolombia,2015-08-05,
colombia,bancolombia,2015-08-06,
colombia,bancolombia,2015-08-07,
colombia,bancolombia,2015-08-10,
colombia,bancolombia,2015-08-11,
colombia,bancolombia,2015-08-12,
colombia,bancolombia,2015-08-13,
colombia,bancolombia,2015-08-14,
colombia,bancolombia,2015-08-17,
colombia,bancolombia,2015-08-18,
colombia,bancolombia,2015-08-19,
colombia,bancolombia,2015-08-20,
colombia,bancolombia,2015-08-21,
colombia,bancolombia,2015-08-24,
colombia,bancolombia,2015-08-25,
colombia,bancolombia,2015-08-26,
colombia,bancolombia,2015-08-27,
colombia,bancolombia,2015-08-28,
colombia,bancolombia,2015-08-31,
colombia,bancolombia,2015-09-01,
colombia,bancolombia,2015-09-02,
colombia,bancolombia,2015-09-03,
colombia,bancolombia,2015-09-04,
colombia,bancolombia,2015-09-08,
colombia,bancolombia,2015-09-09,
colombia,bancolombia,2015-09-10,
colombia,bancolombia,2015-09-11,
colombia,bancolombia,2015-09-14,
colombia,bancolombia,2015-09-15,
colombia,bancolombia,2015-09-16,
colombia,bancolombia,2015-09-17,
colombia,bancolombia,2015-09-18,
colombia,bancolombia,2015-09-21,
colombia,bancolombia,2015-09-22,
colombia,bancolombia,2015-09-23,
colombia,bancolombia,2015-09-24,
colombia,bancolombia,2015-09-25,
colombia,bancolombia,2015-09-28,
colombia,bancolombia,2015-09-29,
colombia,bancolombia,2015-09-30,
colombia,bancolombia,2015-10-01,
colombia,bancolombia,2015-10-02,
colombia,bancolombia,2015-10-05,
colombia,bancolombia,2015-10-06,
colombia,bancolombia,2015-10-07,
colombia,bancolombia,2015-10-08,
colombia,bancolombia,2015-10-09,
colombia,bancolombia,2015-10-12,
colombia,bancolombia,2015-10-13,
colombia,bancolombia,2015-10-14,
colombia,bancolombia,2015-10-15,
colombia,bancolombia,2015-10-16,
