"Category";"Colombia";"Brazil";"Chile";"México";"Peru"
"01/09/2007";3,0921;3,9482;3,0921;3,0921;3,0921
"01/12/2007";1,1747;2,6613;1,1747;1,1747;1,1747
"01/03/2008";1,0162;3,265;1,0162;1,0162;1,0162
"01/06/2008";2,3989;2,4577;1,2683;2,3989;2,3989
"01/09/2008";2,2937;3,0544;1,2511;2,2937;2,2937
"01/12/2008";-0,6607;2,921;-0,1211;-1,6628;-1,6628
"01/03/2009";-6,8046;-5,0193;-4,9598;-5,6771;-5,6771
"01/06/2009";-5,6244;-6,581;-6,9513;-8,3708;-8,3708
"01/09/2009";-3,9703;-5,3139;-6,1449;-9,7687;-9,7687
"01/12/2009";-3,4885;-3,659;-3,5409;-6,0248;-1,3212
"01/03/2010";-0,0613;2,0575;-1,6544;-3,1988;0,8636
"01/06/2010";1,0761;5,606;-0,5524;1,7681;3,0604
"01/09/2010";1,7633;4,4419;2,7632;3,1762;5,1504
"01/12/2010";1,2793;3,2853;3,8436;1,7114;5,4803
"01/03/2011";3,4271;2,7196;4,2537;1,6459;5,315
"01/06/2011";5,1846;2,3494;5,9011;1,2922;5,1487
"01/09/2011";5,1636;2,0221;3,5976;0,6243;3,1389
"01/12/2011";5,4459;-0,2623;0,5078;-0,1119;2,2365
"01/03/2012";3,73;-0,9218;1,0868;0,6107;2,4594
"01/06/2012";4,2053;-0,5602;2,3488;2,2674;3,6434
"01/09/2012";2,7299;-1,3871;2,5896;1,4592;3,3519
"01/12/2012";-0,0679;0,2829;3,0516;0,8606;4,4887
"01/03/2013";0,0817;0,2519;2,5183;1,0709;3,4346
"01/06/2013";0,4217;0,7283;1,6072;-0,5361;3,2826
"01/09/2013";3,6387;1,2437;1,8456;0,109;2,4522
"01/12/2013";4,74;0,4701;2,1857;-0,1151;3,2377
"01/03/2014";4,9556;0,4007;1,8189;-0,1549;4,5516
"01/06/2014";5,1228;1,1621;0,7443;0,9963;3,2066
"01/09/2014";1,4739;-1,8944;-0,1626;0,8169;1,3389
"01/12/2014";2,5108;-2,0974;-0,5822;1,2129;1,1869
"01/03/2015";1,2923;-2,2363;-0,2204;1,0489;0,4014
"01/06/2015";0,2261;-3,4299;0,1615;1,2477;0,9441
"01/09/2015";1,4328;-3,8812;0,5224;1,3418;2,08
"01/12/2015";1,1774;-6,3166;-0,0694;1,5371;1,5321
"01/03/2016";-1,2232;-6,6005;0,1034;0,5693;2,7691
"01/06/2016";-0,6377;-6,5688;0,4334;0,3933;2,2809
"01/09/2016";-0,3518;-4,2664;-0,4632;0,7152;2,2981
"01/12/2016";-0,8097;-3,0295;0,3506;0,1531;3,2283
"01/03/2017";0,5631;-2,9743;-0,6502;1,1977;2,0083
"01/06/2017";-1,1943;-0,9245;-1,8536;1,8947;1,2652
"01/09/2017";-0,5587;-0,5839;-2,2081;0,5435;2,0684
"01/12/2017";0,0765;0,408;0,5485;0,5992;1,9435
"01/03/2018";-0,169;1,1523;1,2666;0,8294;1,7066
"01/06/2018";-0,6902;0,1306;2,2334;-0,1959;1,3837
"01/09/2018";0,8902;-0,6227;2,7826;1,0746;3,3493
"01/12/2018";1,2607;0,0712;0,6965;1,1931;1,4259
"01/03/2019";0,5758;-0,2932;0,8982;-0,908;2,2885
"01/06/2019";1,7411;-0,6045;-0,5446;-0,4834;1,2548
"01/09/2019";1,1757;-0,2133;-0,0914;-2,3124;0,4965
"01/12/2019";1,3758;-0,4846;1,2743;-1,6406;1,682
"01/03/2020";1,5167;-0,0145;-3,1057;-2,1544;1,0613
"01/06/2020";-4,4632;-4,8363;-3,8862;-5,3241;-5,6066
"01/09/2020";-22,5549;-14,1859;-16,1581;-21,6981;-22,6933
"01/12/2020";-10,1294;-5,3521;-9,9164;-8,8927;-6,7122
"01/03/2021";-6,2229;-1,3937;-2,0258;-4,928;-2,3381
"01/06/2021";-1,3594;-0,4804;-1,7146;-3,6908;2,0328
"01/09/2021";10,4741;8,7191;8,1717;12,2262;15,0448
"01/12/2021";5,0496;0,7453;2,5186;-0,0892;2,4848
"01/03/2022";0,4786;-4,2755;-2,9342;-3,5803;-1,0528
"01/06/2022";-6,3648;-6,5019;-6,0974;-6,3183;-4,5351
"01/09/2022";-9,3362;-13,0746;-8,7242;-12,5766;-12,8587
"01/12/2022";-4,1427;-6,1487;-5,9742;-7,9168;-8,4331
"01/03/2023";-3,5643;-4,2552;-5,197;-3,5488;-2,4
"01/06/2023";-5,3045;-7,0171;-5,7589;-6,7334;-5,1227
"01/09/2023";-7,2003;-4,0824;-4,5483;-5,5768;-3,5154
"01/12/2023";-7,8033;-2,594;-6,8421;-4,9957;-4,0737
"01/03/2024";-3,6372;-1,4242;-4,2442;-2,6905;-1,8489
