countryname,bankname,pd_source,date,year,month,tot_asset,total_liab,equity,st_borrow,lt_borrow,net_income,id_fail
panama,aliado,book,2010-01-01,2010,1,1224443.1372,1102051.30635,122391.83085,1036991.62295,65059.6834,539.63057,False
panama,aliado,book,2010-02-01,2010,2,1221679.93043,1097401.62523,124278.3052,1029725.91206,67675.71317,779.06164,False
panama,aliado,book,2010-03-01,2010,3,1223983.3974,1098009.28912,125974.10828,1027543.5114800001,70465.77764,852.60898,False
panama,aliado,book,2010-04-01,2010,4,1228149.49343,1100190.9467,127958.54673,1034251.50647,65939.44023,1363.65335,False
panama,aliado,book,2010-05-01,2010,5,1224350.23051,1097888.92804,126461.30247,1038653.65888,59235.26916,373.00146,False
panama,aliado,book,2010-06-01,2010,6,1272755.87816,1146647.70578,126108.17238,1069317.09223,77330.61355,74.18837,False
panama,aliado,book,2010-07-01,2010,7,1274454.74311,1143346.14893,131108.59418,1058156.5411099999,85189.60782,1442.39302,False
panama,aliado,book,2010-08-01,2010,8,1284415.96476,1150158.89863,134257.06613,1067742.29972,82416.59891,2783.59798,False
panama,aliado,book,2010-09-01,2010,9,1299519.61056,1165471.47661,134048.13395,1067499.78489,97971.69172,1788.4092,False
panama,aliado,book,2010-10-01,2010,10,1324951.98115,1189470.75586,135481.22529,1089130.29938,100340.45648,1890.46319,False
panama,aliado,book,2010-11-01,2010,11,1306530.56954,1170960.1325,135570.43704,1070562.19678,100397.93572,1126.5082,False
panama,aliado,book,2010-12-01,2010,12,1330646.70057,1195675.8453,134970.85527,1084668.11078,111007.73452,1286.05499,False
panama,aliado,book,2011-01-01,2011,1,1337986.42545,1200558.4511,137427.97435,1094997.65251,105560.79859,1580.06424,False
panama,aliado,book,2011-02-01,2011,2,1382644.2959,1244128.85907,138515.43683,1132812.34891,111316.51016,753.10269,False
panama,aliado,book,2011-03-01,2011,3,1406109.35327,1266550.32671,139559.02656,1160855.37891,105694.9478,1026.05085,False
panama,aliado,book,2011-04-01,2011,4,1398356.00329,1257658.47209,140697.5312,1153899.76208,103758.71001,949.20129,False
panama,aliado,book,2011-05-01,2011,5,1399896.43484,1257765.45603,142130.97881,1146551.0368000001,111214.41923,1244.48532,False
