bankname,pd_source,n_periodos,desde,hasta,id_fails
aliado,book,196,2010-01-01,2026-04-01,0
st_george,book,196,2010-01-01,2026-04-01,0
multibank,book,196,2010-01-01,2026-04-01,0
metrobank,book,196,2010-01-01,2026-04-01,0
mercantil,book,196,2010-01-01,2026-04-01,0
global_bank,book,196,2010-01-01,2026-04-01,0
credicorp_bank,book,196,2010-01-01,2026-04-01,0
towerbank,book,196,2010-01-01,2026-04-01,0
caja_ahorros,book,196,2010-01-01,2026-04-01,0
banesco,book,196,2010-01-01,2026-04-01,0
banco_nacional,book,196,2010-01-01,2026-04-01,0
banco_general,book,196,2010-01-01,2026-04-01,0
bac_panama,book,196,2010-01-01,2026-04-01,0
bct_bank,book,196,2010-01-01,2026-04-01,0
unibank,book,185,2010-12-01,2026-04-01,0
bancolombia_pa,book,162,2012-11-01,2026-04-01,0
banistmo,book,160,2013-01-01,2026-04-01,0
